"Action","പ്രവർത്തനം"
"Add","ചേർക്കുക"
"Add to Cart","കാർട്ടിലേക്ക് ചേർക്കുക"
"Are you sure you want to do this?","ഇത് ചെയ്യാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുണ്ടോ?"
"Are you sure?","നിങ്ങള്ക്ക് ഉറപ്പാണോ?"
"Back","പിന്നിലേക്കു"
"Block Information","വിവരങ്ങൾ തടയുക"
"Country","രാജ്യം"
"Customers","ഉപഭോക്താക്കൾ"
"Delete","നീക്കം ചെയ്യുക"
"Disabled","പ്രവർത്തനരഹിതമാക്കി"
"Email","ഇമെയിൽ"
"First Name","പേരിന്റെ ആദ്യഭാഗം"
"General Information","പൊതുവിവരം"
"Grid","ഗ്രിഡ്"
"ID","ഐഡി"
"Last Name","പേരിന്റെ അവസാന ഭാഗം"
"List","പട്ടിക"
"Name","പേര്"
"Pending","ശേഷിക്കുന്നു"
"Price","വില"
"Product Name","ഉത്പന്നത്തിന്റെ പേര്"
"Products","ഉൽപ്പന്നങ്ങൾ"
"Remove","നീക്കം ചെയ്യുക"
"Save and Continue Edit","സേവ് ചെയ്ത്എഡിറ്റ് തുടരുക"
"Status","സ്റ്റാറ്റസ്"
"Store View","സ്റ്റോർ വ്യൂ"
"Update","പുതുക്കുക"
"[STORE VIEW]","[സ്റ്റോർ വ്യൂ]"
