"* Required Fields","* ആവശ്യമായ ഫീൽഡുകൾ"
"--Please Select--","ദയവായി തിരഞ്ഞെടുക്കുക-"
"Card Verification Number","കാർഡ് വെരിഫിക്കേഷൻ നമ്പർ"
"Credit Card Number","ക്രെഡിറ്റ് കാർഡ് നമ്പർ"
"Credit Card Type","ക്രെഡിറ്റ് കാർഡ് ടൈപ്പ്"
"Currency","കറൻസി"
"Day","ദിവസം"
"Enabled","പ്രവർത്തനക്ഷമമാക്കി"
"Expiration Date","കാലഹരണപ്പെടുന്ന തീയതി"
"Merchant ID","വ്യാപാരി ഐഡി"
"Month","മാസം"
"N/A","ബാധകമല്ല"
"New Order Status","പുതിയ ഓർഡർ നില"
"Password","പാസ്സ്‌വേര്‍ഡ്‌"
"Payment Method","പണംകൊടുക്കൽരീതി"
"Payment Methods","പേയ്‌മെന്റ് രീതികൾ"
"Sort Order","ക്രമം"
"Start Date","ആരംഭ തീയതി"
"Test Mode","ടെസ്റ്റ് മോഡ്"
"The requested Payment Method is not available.","അഭ്യർത്ഥിച്ച പേയ്‌മെന്റ് രീതി ലഭ്യമല്ല."
"Title","ശീർഷകം"
"What is this?","ഇത് എന്താണ്?"
"Year","വർഷം"
