"* Required Fields","* ആവശ്യമായ ഫീൽഡുകൾ"
"Comment","അഭിപ്രായം"
"Contact Form","കോണ്ടാക്റ്റ് ഫോം"
"Contact Information","ബന്ധപ്പെടാനുള്ള വിവരങ്ങൾ"
"Contact Us","ഞങ്ങളെ സമീപിക്കുക"
"Contacts","കോൺ‌ടാക്റ്റുകൾ"
"Contacts Section","കോൺടാക്റ്റുകൾ വിഭാഗം"
"Email","ഇമെയിൽ"
"Email Options","ഇമെയിൽ ഓപ്ഷനുകൾ"
"Email Sender","ഇമെയിൽ അയച്ചയാൾ"
"Email Template","ഇമെയിൽ ടെംപ്ലേറ്റ്"
"Enable Contact Us","ഞങ്ങളെ ബന്ധപ്പെടുക പ്രാപ്തമാക്കുക"
"Name","പേര്"
"Send Emails To","ഈ വിലാസത്തില്‍ ഇമെയിൽ അയയ്‌ക്കുക"
"Submit","സമർപ്പിയ്ക്കുക"
