"Action","പ്രവർത്തനം"
"Back","പിന്നിലേക്കു"
"Cancel","റദ്ദാക്കുക"
"Customer","ഉപഭോക്താവ്"
"Date Added","തീയതി ചേർത്തു"
"Delete","നീക്കം ചെയ്യുക"
"Email","ഇമെയിൽ"
"Guest","അതിഥി"
"ID","ഐഡി"
"Message","സന്ദേശം"
"Newsletter","വാർത്താക്കുറിപ്പ്"
"Not Sent","അയച്ചില്ല"
"Paused","താൽക്കാലികമായി നിർത്തി"
"Preview","പ്രിവ്യൂ"
"Reset","പുനഃക്രമീകരിക്കുക"
"Sending","അയയ്ക്കുന്നു"
"Sent","അയച്ചു"
"Status","സ്റ്റാറ്റസ്"
"Store","സ്റ്റോർ"
"Store View","സ്റ്റോർ വ്യൂ"
"Subject","വിഷയം"
"Submit","സമർപ്പിയ്ക്കുക"
"Type","ടൈപ്പ്"
"Website","വെബ് സൈറ്റ്"
