"* Required Fields","* ആവശ്യമായ ഫീൽഡുകൾ"
"ALL GROUPS","എല്ലാ ഗ്രൂപ്പുകളും"
"Account Information","അക്കൗണ്ട് വിവരങ്ങൾ"
"Action","പ്രവർത്തനം"
"Add New Address","പുതിയ അഡ്രസ് ചേർക്കുക"
"Additional Address Entries","അധിക വിലാസ എൻ‌ട്രികൾ"
"Address","വിലാസം"
"Address Book","അഡ്രസ് ബുക്ക്"
"Address Information","വിലാസ വിവരങ്ങൾ"
"All","എല്ലാം"
"All Store Views","എല്ലാ സ്റ്റോർ കാഴ്‌ചകളും"
"Are you sure?","നിങ്ങള്ക്ക് ഉറപ്പാണോ?"
"Back","പിന്നിലേക്കു"
"Cancel","റദ്ദാക്കുക"
"Change Billing Address","ബില്ലിംഗ് വിലാസം മാറ്റുക"
"Change Password","പാസ്‌വേഡ് മാറ്റുക"
"Change Shipping Address","ഷിപ്പിംഗ് വിലാസം മാറ്റുക"
"City","പട്ടണം"
"Company","കമ്പനി"
"Configure","കോൺഫിഗർ ചെയ്യുക"
"Confirm New Password","പുതിയ പാസ്‌വേഡ് സ്ഥിരീകരിക്കുക"
"Confirm Password","പാസ്‌വേഡ് സ്ഥിരീകരിക്കുക"
"Confirmed","സ്ഥിരീകരിച്ചു"
"Contact Information","ബന്ധപ്പെടാനുള്ള വിവരങ്ങൾ"
"Country","രാജ്യം"
"Create Order","ഓർഡർ സൃഷ്ടിക്കുക"
"Create an Account","ഒരു അക്കൗണ്ട് തുടങ്ങു"
"Current Password","നിലവിലുള്ള പാസ്‍വേര്‍ഡ്"
"Customer","ഉപഭോക്താവ്"
"Customer Group","ഉപഭോക്തൃ ഗ്രൂപ്പ്"
"Customer Groups","ഉപഭോക്തൃ ഗ്രൂപ്പുകൾ"
"Customer View","ഉപഭോക്തൃ കാഴ്ച"
"Customers","ഉപഭോക്താക്കൾ"
"Date","തീയതി"
"Date Added","തീയതി ചേർത്തു"
"Day","ദിവസം"
"Default Addresses","ഡീഫോൾട് അഡ്രസ്സ്സ്"
"Delete","നീക്കം ചെയ്യുക"
"Delete Customer","ഉപഭോക്താവിനെ ഇല്ലാതാക്കുക"
"Details","വിവരങ്ങൾ"
"Disabled","പ്രവർത്തനരഹിതമാക്കി"
"Edit","എഡിറ്റുചെയ്യുക"
"Edit Address","അഡ്രസ് തിരുത്തുക"
"Edit Customer Groups","ഉപഭോക്തൃ ഗ്രൂപ്പുകൾ എഡിറ്റുചെയ്യുക"
"Edit Group","ഗ്രൂപ്പ് എഡിറ്റുചെയ്യുക"
"Email","ഇമെയിൽ"
"Email Address","ഈ - മെയില് വിലാസം"
"Email Sender","ഇമെയിൽ അയച്ചയാൾ"
"Fax","ഫാക്സ്"
"First Name","പേരിന്റെ ആദ്യഭാഗം"
"Forgot Your Password?","നിങ്ങളുടെ പാസ്സ്‌വേർഡ് മറന്നോ?"
"General Subscription","പൊതു സബ്‌സ്‌ക്രിപ്‌ഷൻ"
"Group","ഗ്രൂപ്പ്"
"Guest","അതിഥി"
"ID","ഐഡി"
"Invalid login or password.","ലോഗിൻ അല്ലെങ്കിൽ പാസ്‌വേഡ് അസാധുവാണ്."
"Last Date Subscribed","അവസാന തീയതി സബ്‌സ്‌ക്രൈബുചെയ്‌തു"
"Last Date Unsubscribed","അവസാന തീയതി സബ്‌സ്‌ക്രൈബുചെയ്‌തു"
"Last Name","പേരിന്റെ അവസാന ഭാഗം"
"Lifetime Sales","ആജീവനാന്ത വിൽപ്പന"
"Login","ലോഗിൻ"
"Month","മാസം"
"My Account","എന്റെ അക്കൗണ്ട്"
"Name","പേര്"
"New Address","പുതിയ അഡ്രസ്"
"New Customer","പുതിയ ഉപഭോക്താവ്"
"New Customer Groups","പുതിയ ഉപഭോക്തൃ ഗ്രൂപ്പുകൾ"
"New Customers","പുതിയ ഉപഭോക്താക്കൾ"
"New Group","പുതിയ ഗ്രൂപ്പ്"
"New Password","പുതിയ പാസ്‍വേര്‍ഡ്"
"Newsletter","വാർത്താക്കുറിപ്പ്"
"Newsletter Information","വാർത്താക്കുറിപ്പ് വിവരങ്ങൾ"
"No Newsletter Found","വാർത്താക്കുറിപ്പുകളൊന്നും കണ്ടെത്തിയില്ല"
"Not Sent","അയച്ചില്ല"
"Order Total","ഓർഡർ ആകെ"
"Orders","ഓർഡറുകൾ"
"Password","പാസ്സ്‌വേര്‍ഡ്‌"
"Paused","താൽക്കാലികമായി നിർത്തി"
"Pending","ശേഷിക്കുന്നു"
"Personal Information","സ്വകാര്യ വിവരം"
"Please enter your email.","നിങ്ങളുടെ ഇമെയിൽ നൽകുക."
"Please make sure your passwords match.","നിങ്ങളുടെ പാസ്‌വേഡുകൾ പൊരുത്തപ്പെടുന്നുവെന്ന് ഉറപ്പാക്കുക."
"Price","വില"
"Product","ഉൽപ്പന്നം"
"Product Name","ഉത്പന്നത്തിന്റെ പേര്"
"Qty","അളവ്"
"Refunded","റീഫണ്ട് ചെയ്തു"
