"Add Option","ഓപ്ഷൻ ചേർക്കുക"
"Attribute Code","ആട്രിബ്യൂട്ട് കോഡ്"
"Attribute Label","ആട്രിബ്യൂട്ട് ലേബൽ"
"Attribute object is undefined","ആട്രിബ്യൂട്ട് ഒബ്‌ജക്റ്റ് നിർവചിക്കപ്പെട്ടിട്ടില്ല"
"Date","തീയതി"
"Default Value","സ്ഥിര മൂല്യം"
"Delete","നീക്കം ചെയ്യുക"
"Dropdown","ഡ്രോപ്പ് ഡൗൺ"
"Email","ഇമെയിൽ"
"Input Validation for Store Owner","സ്റ്റോർ ഉടമയ്‌ക്കുള്ള ഇൻപുട്ട് മൂല്യനിർണ്ണയം"
"Multiple Select","ഒന്നിലധികം തിരഞ്ഞെടുക്കൽ"
"No","ഇല്ല"
"None","ഒന്നുമില്ല"
"Required","ആവശ്യമാണ്"
"System","സിസ്റ്റം"
"Text Area","ടെക്സ്റ്റ് ഏരിയ"
"Text Field","ടെക്സ്റ്റ് ഫീൽഡ്"
"Yes","അതെ"
"Yes/No","അതെ/അല്ല"
