"Add","ചേർക്കുക"
"Add New Role","പുതിയ റോൾ ചേർക്കുക"
"Allow","അനുവദിക്കുക"
"Attribute Set","ആട്രിബ്യൂട്ട് സെറ്റ്"
"Attributes","ആട്രിബ്യൂട്ട്സ്"
"Back","പിന്നിലേക്കു"
"Base Currency","അടിസ്ഥാന കറൻസി"
"Catalog","കാറ്റലോഗ്"
"City","പട്ടണം"
"Company","കമ്പനി"
"Country","രാജ്യം"
"Create Permanent Redirect for old URL","പഴയ URL- നായി സ്ഥിരമായ റീഡയറക്‌ട് സൃഷ്‌ടിക്കുക"
"Customer","ഉപഭോക്താവ്"
"Customer Address","ഉപഭോക്തൃ വിലാസം"
"Delete","നീക്കം ചെയ്യുക"
"Deny","നിരസിക്കുക"
"Discount Amount","കിഴിവ് തുക"
"Edit","എഡിറ്റുചെയ്യുക"
"Edit Role","റോൾ എഡിറ്റുചെയ്യുക"
"Email","ഇമെയിൽ"
"First Name","പേരിന്റെ ആദ്യഭാഗം"
"Grand Total","ആകെ തുക"
"Group","ഗ്രൂപ്പ്"
"Guest","അതിഥി"
"ID","ഐഡി"
"Last Name","പേരിന്റെ അവസാന ഭാഗം"
"Orders","ഓർഡറുകൾ"
"Payment Method","പണംകൊടുക്കൽരീതി"
"Phone Number","ഫോൺ നമ്പർ"
"Position","സ്ഥാനം"
"Price","വില"
"Product","ഉൽപ്പന്നം"
"Qty","അളവ്"
"Role Name","റോൾ നാമം"
"Sales","വിൽപ്പന"
"Save","സേവ് ചെയ്യുക"
"Subtotal","ആകെത്തുക"
"System","സിസ്റ്റം"
"Type","ടൈപ്പ്"
"Update","പുതുക്കുക"
"ZIP/Postal Code","സിപ്/പോസ്റ്റൽ കോഡ്"
