"* Required Fields","* ആവശ്യമായ ഫീൽഡുകൾ"
"Authorize","അംഗീകരിക്കുക"
"Close","അടയ്ക്കുക"
"Customer","ഉപഭോക്താവ്"
"Delete","നീക്കം ചെയ്യുക"
"Disable","പ്രവർത്തനരഹിതമാക്കുക"
"Disabled","പ്രവർത്തനരഹിതമാക്കി"
"Edit","എഡിറ്റുചെയ്യുക"
"Email","ഇമെയിൽ"
"Email Address","ഈ - മെയില് വിലാസം"
"Enable","പ്രവർത്തനക്ഷമമാക്കുക"
"Enabled","പ്രവർത്തനക്ഷമമാക്കി"
"ID","ഐഡി"
"Login","ലോഗിൻ"
"Name","പേര്"
"Password","പാസ്സ്‌വേര്‍ഡ്‌"
"Role Name","റോൾ നാമം"
"Save","സേവ് ചെയ്യുക"
"Save and Continue Edit","സേവ് ചെയ്ത്എഡിറ്റ് തുടരുക"
"Status","സ്റ്റാറ്റസ്"
"System","സിസ്റ്റം"
"User Name","യൂസര്‍ നെയിം"
