"Actions","പ്രവർത്തനങ്ങൾ"
"Are you sure?","നിങ്ങള്ക്ക് ഉറപ്പാണോ?"
"Date Added","തീയതി ചേർത്തു"
"Last Update","അവസാന പരിഷ്കാരം"
"Mark as Read","വായിച്ചതായി അടയാളപ്പെടുത്തുക"
"Message","സന്ദേശം"
"Messages Inbox","മെസ്സേജ് ഇൻ‌ബോക്സ്"
"Notifications","അറിയിപ്പുകൾ"
"Please select messages.","ദയവായി സന്ദേശങ്ങൾ തിരഞ്ഞെടുക്കുക."
"Read Details","വിശദാംശങ്ങൾ വായിക്കുക"
"Remove","നീക്കം ചെയ്യുക"
"Severity","തീവ്രത"
"Show List","പട്ടിക കാണിക്കുക"
"Show Toolbar","ടൂൾബാർ കാണിക്കുക"
"The message has been removed.","സന്ദേശം നീക്കംചെയ്‌തു."
"Update Frequency","അപ്‌ഡേറ്റ് ഫ്രേക്യുഎൻസി"
"Use HTTPS to Get Feed","ഫീഡ് ലഭിക്കുന്നതിന് HTTPS ഉപയോഗിക്കുക"
"Wrong message type","തെറ്റായ മെസ്സേജ് ടൈപ്പ്"
"critical","ഗുരുതരമാണ്"
"major","പ്രധാന"
"minor","മൈനർ"
"notice","അറിയിപ്പ്"
