"-- Please Select --","-- Por favor, seleccione --"
"Add Store Code to Urls","Añadir el código de tienda a las URLs"
"Admin","Administrador"
"Advanced","Avanzado"
"Allowed IPs (comma separated)","IPs permitidas (separadas por coma)"
"Back","Volver atrás"
"Base JavaScript URL","URL Base de JavaScript"
"Base Link URL","URL Base de Link"
"Base Media URL","URL Base de Media"
"Base Skin URL","URL Base de Skin"
"Base URL","URL Base"
"Block with name ""%s"" already exists","El bloque con el nombre ""%s"" ya existe"
"Can't retrieve request object","No se puede recuperar el objeto solicitado"
"Can't retrieve entity config: %s","No se puede recuperar la config. de la entidad: %s"
"Code","Código"
"Controller file was loaded but class does not exist","El archivo controlador fue cargado pero la clase no existe"
"Cookie Domain","Dominio de la cookie"
"Cookie Lifetime","Ciclo de vida de la cookie"
"Cookie Path","Ruta de la cookie"
"Country","País"
"Create Store","Crear una tienda"
"Create Store View","Crear una vista de tienda"
"Create Website","Crear un sitio web"
"Custom Design","Diseño personalizado"
"Dashboard","Panel de administración"
"Date From","Desde fecha"
"Date To","Hasta fecha"
"Debug","Depurar"
"Default Pages","Páginas por defecto"
"Default Store","Tienda por defecto"
"Default Store View","Vista de tienda por defecto"
"Delete","Borrar"
"Delete Store","Borrar la tienda"
"Delete Store View","Borrar la vista de tienda"
"Delete Website","Borrar el sitio web"
"Design","Diseño"
"Design Change","Cambio de diseño"
"Developer","Desarrollador"
"Developer Client Restrictions","Restricciones de cliente para desarrollador"
"Edit Design Change","Editar el cambio de diseño"
"Edit Store","Editar la tienda"
"Edit Store View","Editar la vista de tienda"
"Edit Website","Editar el sitio web"
"Empty identifier field name","Vaciar el nombre del campo identificador"
"Empty main table name","Vaciar el nombre de la tabla principal"
"Enabled","Habilitado"
"Enabled for Admin","Habilitado para administrador"
"Enabled for Frontend","Habilitado para el frontend"
"Error in file: ""%s"" - %s","Error en el archivo: ""%s"" - %s"
"Forgot Password Email Sender","Remitente de correo de contraseña olvidada"
"Forgot Password Email Template","Plantilla de correo de contraseña olvidada"
"Invalid base url type","El tipo de URL base es inválido"
"Invalid block type: %s","El tipo de bloque es inválido: %s"
"Invalid block: %s","Block inválido: %s"
"Invalid layout update handle","Actualización de layout inválida"
"Invalid messages storage ""%s"" for layout messages initialization","El almacenamiento de mensajes es inválido ""%s"" para iniciación de mensajes de layout"
"Layout","Diseño"
"Locale","Local"
"Name","Nombre"
"New Design Change","Nuevo cambio de diseño"
"New Store","Nueva tienda"
"New Store View","Nueva vista de tienda"
"New Website","Nuevo sitio web"
"Package","Paquete"
"Please enter a number greater than 0 in this field.","Por favor, escriba un número mayor que 0 en este campo."
"Please enter a valid $ amount. For example $100.00.","Por favor, escriba una cantidad válida. Por ejemplo $100.00"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor, escriba una URL válida. Por ejemplo http://www.ejemplo.com o www.ejemplo.com"
"Please enter a valid credit card number.","Por favor, escriba un número de tarjeta de crédito válido"
"Please enter a valid date.","Por favor, escriba una fecha válida"
"Please enter a valid email address. For example johndoe@domain.com.","Por favor, escriba una dirección de correo electrónico válida. Por ejemplo juan@dominio.com"
"Please enter a valid number in this field.","Por favor, escriba un número válido en este campo"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor, escriba un n&uacute;mero telef&oacute;nico v&aacute;lido"
"Please enter a valid social security number. For example 123-45-6789.","Por favor, escriba un número válido de seguridad social. Por ejemplo 123-45-6789."
"Please enter a valid zip code.","Por favor, escriba un código postal válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, escriba un código postal válido."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden"
"Please select State/Province.","Por favor, seleccione Estado/Provincia"
"Please select an option.","Por favor, seleccione una opción."
