"ALL GROUPS","TODOS LOS GRUPOS"
"Account Dashboard","Panel de Control"
"Account Information","Información de la cuenta"
"Account Sharing Options","Opciones para compartir la cuenta"
"Action","Acción"
"Add New Address","Agregar nuevas direcciones"
"Add New Customer","Agregar un nuevo cliente"
"Add New Customer Group","Agregar un nuevo grupo de clientes"
"Added From","Agregado desde"
"Additional Address Entries","Entradas adicionales de domicilio"
"Address","Dirección"
"Address Book","Libreta de direcciones"
"Address Information","Información de la dirección"
"Addresses","Direcciones"
"Admin","Administrador"
"All","Todos"
"All Store Views","Todas las vistas de tienda"
"All countries","Todos los países"
"Approved","Aprovado"
"Are you sure that you want to remove this item?","Está seguro que desea borrar el artículo?"
"Are you sure you want to cancel adding of this address?","Está seguro que desea anular el agregar esta dirección?"
"Are you sure you want to delete this address?","Está seguro que desea borrar esta dirección?"
"Average Sale","Promedio de ventas"
"Back","Volver atrás"
"Back to Login","Regresar a la página de Acceso"
"Bought From","Comprado desde"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en nuestra tienda, podrá realizar el proceso de compra más rápidamente, indicar un envío a múltiples direcciones, ver y hacer un seguimiento de sus Pedidos y mucho más. "
"Change Account Password","Cambiar la contraseña de la cuenta"
"Change Billing Address","Cambiar la dirección de facturación"
"Change Password","Cambiar la contraseña de la cuenta"
"Change Shipping Address","Cambiar la dirección de envío"
"City","Ciudad"
"Company","Compañia"
"Config","Configuración"
"Confirm New Password","Confirmar la nueva contraseña"
"Confirm Password","Confirmar la contraseña"
"Contact Information","Información de contacto"
"Continue Shopping","Continuar comprando"
"Country","País"
"Create","Crear"
"Create New Account Options","Crear nuevas opciones para las cuentas"
"Create New Customer Account","Crear una nueva cuenta de cliente"
"Create Order","Crear un Pedido"
"Create an Account","Crear una cuenta"
"Current Password","Contraseña actual"
"Customer","Cliente"
"Customer Addresses","Direcciones del cliente"
"Customer Configuration","Configuración del cliente"
"Customer Group","Grupo de clientes"
"Customer Groups","Grupos de clientes"
"Customer Information","Información del cliente"
"Customer Login","Acceso del cliente"
"Customer Since","Cliente Desde"
"Customer View","Vista de cliente"
"Customers","Clientes"
"Customers Only","Sólo clientes"
"Days in Wishlist","Días en la lista de artículos de interés"
"Default Addresses","Direcciones por defecto"
"Default Billing Address","Dirección de facturación por defecto"
"Default Email Domain","Dominio de correo electrónico por defecto"
"Default Group","Grupo por defecto"
"Default Shipping Address","Dirección de envío por defecto"
"Delete","Borrar"
"Delete Address","Borrar la dirección"
"Delete Customer","Borrar el cliente"
"Delete Customer Group","Borrar el grupo de clientes"
"Deleted Stores","Tiendas borradas"
"Disabled","Deshabilitado"
"Edit","Editar"
"Edit Account Information","Editar la información de la cuenta"
"Edit Address","Editar la dirección"
"Edit Address Entry","Editar la dirección"
"Edit Customer Group ""%s""","Editar el grupo de clientes ""%s"""
"Edit Customer Groups","Editar los grupos de clientes"
"Edit Customer's Address","Editar las direcciones de los clientes"
"Edit Group","Editar el grupo"
"Edit Newsletters","Editar los boletines de noticias"
"Email","Correo electrónico"
"Email Address","Dirección de correo electrónico"
"Email Sender","Remitente del correo electrónico"
"Email:","Correo electrónico:"
"First Name","Nombre"
"Forgot Email Template","Plantilla para recordatorio de correo electrónico"
"Forgot Your Password?","Olvidó su Contraseña?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde Mi Cuenta usted puede ver un resumen de sus actividades recientes y actualizar la información de su cuenta. Seleccione un enlace inferior para ver o editar información."
"General Subscription","Suscripción general"
"Group","Grupo"
"Group Information","Información del grupo"
"Group Name","Nombre del grupo"
"Guest","Invitado"
"Hello, %s!","Hola, %s!"
"IP Address","Dirección de IP"
"If you have an account with us, please log in.","Si tiene una cuenta con nosotros, por favor acceda con sus datos."
"Invalid current password","La contraseña actual es inválida"
"Invalid customer data","Los datos del cliente son inválidos"
"Last Activity","Ultima actividad"
"Last Name","Apellido"
"Lifetime Sales","Ciclo de ventas"
"Log In","Iniciar sesión"
"Log Out","Cerrar Sesión"
"Login","Ingresar"
"Login Information","Información de Inicio de sesión"
"Login or Create an Account","Inicie sesión o cree una cuenta"
"Manage Addresses","Gestionar direcciones"
"Manage Customers","Gestionar clientes"
"My Account","Mi cuenta"
"My Dashboard","Mi panel de control"
"My Orders","Mis Pedidos"
"Name","Nombre"
"Never","Nunca"
"New Address","Nueva dirección"
"New Address Entry","Nueva entrada de dirección"
"New Customer","Nuevo cliente"
"New Customer Address","Nueva dirección del cliente"
"New Customer Group","Nuevo grupo de clientes"
"New Customer Groups","Nuevos grupos de clientes"
"New Customers","Nuevos clientes"
"New Group","Nuevo grupo"
"New Password","Nueva contraseña"
"New account","Nueva cuenta"
"Newsletter","Boletín de noticias"
"Newsletter Finish","Final del boletín de noticias"
"Newsletter Information","Información del boletín de noticias"
"Newsletter Received","Boletín de noticias recibido"
"Newsletter Start","Inicio del boletín de noticias"
"Newsletter Subscription","Subscripción al boletín de noticias"
"Newsletters","Boletines de noticias"
"No Items Found","No se encontraron artículos"
"No Newsletter Found","No se encontraron boletines de noticias"
"Not Sent","No se envió"
"Offline","Desconectado"
"Online","Conectado"
"Online Customers","Clientes Conectados"
"Order Total","Total del Pedido"
"Orders","Pedidos"
"Password","Contraseña"
"Password Management","Gestión de la contraseña"
"Password Options","Opciones de la contraseña"
"Password:","Contraseña:"
"Paused","Detenido"
"Pending","Pendiente"
"Per Website","Por sitio web"
"Personal Information","Información personal"
"Please enter your email.","Por favor, ingrese su dirección de correo electrónico."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden"
"Please select region, state or province","Seleccione una región, estado o provincia"
"Price","Precio"
"Product","Producto"
"Product ID","ID de producto"
"Product Name","Nombre del producto"
"Product Reviews","Comentarios del producto "
"Product Tags","Etiquetas del producto"
"Purchase On","Comprado en "
"Purchased On","Comprado el"
"Qty","Ctdad"
"Recent Orders","Pedidos recientes"
"Refunded","Devuelto"
"Register","Registrarse"
"Registered Customers","Clientes Registrados"
"Retrieve your password here","Recupere su contraseña aquí"
"SKU","Código"
"Sales Statistics","Estadísticas de venta"
"Save","Guardar"
"Save Address","Guardar dirección"
"Save Customer","Guardar cliente"
"Save Customer Group","Guardar grupo de cliente"
"Save Password","Guardar contraseña"
"Sending","Enviando"
"Sent","Enviado"
"Session Start Time","Hora de inicio de la sesión"
"Set as Default Billing Address","Configurar como dirección de facturación por defecto"
"Set as Default Shipping Address","Configurar como dirección de envío por defecto"
"Share Customer Accounts","Compartir las cuentas de clientes"
"Shipped to First Name","Envidado a nombre"
"Shipped to Last Name","Enviado a apellido"
"Shipped to Name","Enviado a nombre de"
"Shopping Cart","Carrito de compras"
"Shopping Cart - %d item(s)","Carrito de Compras - %d item(s)"
"Sign Up for Newsletter","Apuntarse al boletín de noticias"
"State/Province","Estado/Provincia"
"Status","Estado"
"Store","Tienda"
"Store View","Vista de tienda"
"Street Address","Calle"
"Subject","Asunto"
"Submit","Enviar"
"Subscribe to Newsletter","Suscríbase para Boletín de Noticias"
"Subscribed to Newsletter?","Suscribirse al Boletín?"
"Tag Name","Nombre de la etiqueta"
"Telephone","Teléfono"
"Text One Line","Texto de una línea"
"There are no items in customer's wishlist at the moment","Por el momento no hay artículos en la lista de artículos de interés del cliente"
"There are no items in customer's shopping cart at the moment","No hay artículos en el carrito de la compra del cliente en este momento"
"This customer has no saved addresses.","Este cliente no guardó sus direcciones"
"To Cart","Al carrito"
"Type","Tipo"
"Unknown","Desconocido"
"Update","Actualizar"
"Use as my default billing address","Usar como mi dirección de facturación por defecto"
"Use as my default shipping address","Usar como mi dirección de envíos por defecto"
"View","Ver"
"View Order","Ver Pedido"
"Visitor","Visitante"
"Visitors Only","Sólo visitantes"
"Website","Sitio web"
"Wishlist","Lista de artículos de interés"
"Wishlist - %d item(s)","Lista de Deseos - %d item(s)"
"You are currently not subscribed to any newsletter.","Actualmente no está subscrito a ningún boletín  de noticias."
"You are currently subscribed to 'General Subscription'.","Actualmente está subscrito a la 'Suscripción General'."
"You are currently subscribed to our newsletter.","Actualmente está subscrito a nuestro boletín de noticias"
"You have no additional address entries in your address book.","No tiene direcciones adicionales en su libreta de direcciones."
"You have no additional entries in your address book.","No tiene entradas adicionales en su libreta de direcciones."
"You have no default billing address in your address book.","No tiene una dirección de facturación por defecto en su libreta de direcciones."
"You have no default shipping address in your address book.","No tiene una dirección de envío por defecto en su libreta de direcciones."
"You have placed no orders yet.","Aún no ha realizado ningún pedido."
"You have placed no products yet.","Aún no ha colocado ningún producto."
"Your account balance is: %s","El balance de su cuenta es: %s"
"ZIP","Código postal"
"ZIP/Post Code","Código postal"
"Zip/Postal Code","Código postal"
"n/a","n/d"
