" Copy","Copiar"
"Action","Acción"
"Add New Template","Agregar una nueva plantilla"
"Add to Queue","Agregar a la cola"
"Are you sure that you want to delete this template?","Est&aacute; seguro de borrar esta plantilla?"
"Are you sure that you want to strip all tags?","Est&aacute; seguro de desaplicar todas las etiquetas?"
"Back","Volver atrás"
"Cancelled","Cancelado"
"Confirmation Email Sender","Remitente del correo electrónico de confirmación"
"Confirmation Email Template","Plantilla del correo electrónico de confirmación"
"Convert to Plain Text","Convertir a texto plano"
"Create Newsletter Template","Crear una plantilla para el boletín de noticias"
"Customer","Cliente"
"Date Updated","Fecha actualizada"
"Delete","Borrar"
"Delete Selected Problems","Borrar los problemas seleccionados"
"Delete Template","Borrar la plantilla"
"Do you really want to cancel the queue?","Est&aacute; seguro de cancelar la cola de tareas?"
"Edit Newsletter","Editar el Boletín de noticias"
"Edit Newsletter Template","Editar la plantilla del Boletín de noticias"
"Edit Queue","Editar la cola de tareas"
"Edit Template","Editar la plantilla"
"Email","Correo electrónico"
"Enter your email address","Escriba su dirección de correo electrónico"
"Error Code","Código del error"
"Error Text","Texto del error"
"Guest","Invitado"
"Need to Confirm","Debe confirmar"
"New Newsletter Template","Nueva plantilla para el Boletín de noticias"
"New Template","Nueva plantilla"
"Newsletter","Boletín de noticias"
"Newsletter Message Preview","Vista previa del Boletín de noticias"
"Newsletter Problem Reports","Informes de problemas del Boletín de noticias"
"Newsletter Queue","Cola de tareas del Boletín de noticias"
"Newsletter Subscribers","Suscriptos al Boletín de noticias"
"Newsletter Subscription","Subscripción al boletín de noticias"
"Newsletter Subscriptions","Suscripciones al boletín de noticias"
"Newsletter Templates","Plantillas del Boletín de noticias"
"Newsletter subscription confirmation","Confirmación de la subscripción al Boletín de noticias"
"Newsletter subscription success","Suscripción exitosa al Boletín de noticias"
"Newsletter unsubscription success","Ha cancelado con éxito su subscripción al Boletín de noticias"
"No Templates Found","No se encontraron plantillas"
"Not Sent","No se envió"
"Pause","Pausa"
"Paused","Detenido"
"Please enter new template name","Por favor ingrese un nuevo nombre de plantilla"
"Please select subscriber(s)","Por favor seleccione suscripto(s)"
"Preview","Previsualizar"
"Preview Template","Previsualizar la plantilla"
"Processed","Procesado"
"Queue Date Start","Fecha de inicio de la cola de tareas"
"Queue Finish","Tareas finalizadas"
"Queue Information","Información de la cola de tareas"
"Queue Start","Inicio de la cola de tareas"
"Queue Subject","Asunto de la cola de tareas"
"Recipients","Recipientes"
"Reset","Reiniciar"
"Resume","Continuar"
"Save As","Guardar como"
"Save Newsletter","Guardar el Boletín de noticias"
"Save Template","Guardar la plantilla"
"Sender","Remitente"
"Sender Email","Correo electrónico del remitente"
"Sender Name","Nombre del remitente"
"Sending","Enviando"
"Sent","Enviado"
"Sign up for our newsletter","Apuntarse a nuestro boletín de noticias"
"Start","Comenzar"
"Status","Estado"
"Store","Tienda"
"Store View","Vista de tienda"
"Subject","Asunto"
"Submit","Enviar"
"Subscribe","Suscribirse"
"Subscriber","Subscriptor"
"Subscribers","Subscriptores"
"Subscribers From","Suscriptores desde"
"Subscription Options","Opciones de subscripción"
"Success Email Sender","Remitente de correo para operación exitosa"
"Success Email Template","Plantilla de correo para operación exitosa"
"Template Content","Contenido de la plantilla"
"Template Information","Información de la plantilla"
"Template Name","Nombre de la plantilla"
"Template Subject","Asunto de la plantilla"
"Template Type","Tipo de plantilla"
"There was a problem with the subscription: %s","Hubo un problema con la subscripción: %s"
"There was a problem with the un-subscription.","Hubo un problema con la cancelación de subscripción"
"Type","Tipo"
"Unsubscribe","Cancelar subscripción"
"Unsubscribe Selected","Cancelar subscripción de los seleccionados"
"Unsubscription Email Sender","Remitente de correo electrónico de cancelación de subscripción"
"Unsubscription Email Template","Plantilla de correo electrónico de cancelación de subscripción"
"View Newsletter","Ver el Boletín de noticias"
"Website","Sitio web"
