"# of Items (and above)","# de art&iacute;culos (and above)"
"# of Items vs. Destination","# de artículos vs. destino"
"Calculate Handling Fee","Calcular costos de envío"
"Carrier:","Transporte:"
"City","Ciudad"
"Close Window","Cerrar Ventana"
"Condition","Condición"
"Country","País"
"Custom Value","Valor personalizado"
"Delivered on:","Entregado el:"
"Delivered to:","Entregado a:"
"Description","Descripción"
"Displayed Error Message","Mensaje de error mostrado"
"Enabled","Habilitado"
"Export","Exportar"
"Flat Rate","Tarifa plana"
"Handling Fee","Costos de envío"
"Import","Importar"
"Info:","Información:"
"Invalid Table Rate code for type %s: %s","Código de tabla de tarifas inválido para el tipo %s: %s"
"Invalid Table Rate code type: %s","Tipo de código inválido para tabla de tarifas: %s"
"Invalid Table Rates File Format","Formato de archivo de la tabla de tarifas inválido"
"Local Time","Hora local"
"Location","Ubicación"
"None","Ninguno"
"Options","Opciones"
"Order Subtotal (and above)","Subtotal del pedido (and above)"
"Origin","Origen"
"Per Order","Por pedido"
"Per Package","Por paquete"
"Price","Precio"
"Price vs. Destination","Precio vs. destino"
"Region/State","Región/Estado"
"Service Type:","Tipo de servicio:"
"Shipment #","Envío #"
"Shipped or billed on:","Enviado o facturado el:"
"Shipping Methods","Métodos de envío"
"Shipping Settings","Configuraciones de envío"
"Signed by:","Firmado por:"
"Sort Order","Ordenar pedido"
"Status:","Estado:"
"Store Pickup","Se recoge en tienda"
"Street Address","Calle"
"There is no tracking available for this shipment.","No hay ningún seguimiento disponible para este envío."
"There is no tracking available.","No hay ningún seguimiento disponible."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Este método de envío no está actualmente disponible. Si usted desea usar este método de envío, por favor contáctese con nosotros."
"Track:","Seguimiento:"
"Tracking Number:","Número de seguimiento:"
"Tracking information is currently not available. Please ","Actualmente la información del seguimiento no está disponible. Por favor, intente más tarde "
"Tracking information is currently unavailable.","Actualmente la información del seguimiento no está disponible."
"Type","Tipo"
"Weight (and above)","Peso (and above)"
"Weight vs. Destination","Peso vs. destino"
"Weight:","Peso:"
"ZIP/Postal Code","Código postal"
"contact us","Contacte con nosotros"
