"Address","Dirección"
"Address Information","Información de la dirección"
"Already registered?","Ya se encuentra registrado?"
"Back","Volver atrás"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en nuestra tienda, podrá realizar el proceso de compra más rápidamente, indicar un envío a múltiples direcciones, ver y hacer un seguimiento de sus Pedidos y mucho más. "
"Checkout as Guest","Realizar Pedido como Invitado"
"Checkout as a Guest or Register","Realizar Pedido como Invitado o Registrarse"
"City","Ciudad"
"Company","Compañia"
"Confirm Password","Confirmar la contraseña"
"Continue","Continuar"
"Country","País"
"Create an Account","Crear una cuenta"
"Easy access to your order history and status","Fácil acceso a su historial de compras y estado"
"Email Address","Dirección de correo electrónico"
"Fast and easy check out","Compra rápida y fácil"
"Forgot Your Password?","Olvidó su Contraseña?"
"Forgot your password?","¿Olvid&oacute; su contrase&ntilde;a?"
"General Options","Opciones generales"
"If you have an account with us, please log in.","Si tiene una cuenta con nosotros, por favor acceda con sus datos."
"Loading next step...","Cargando el siguiente paso..."
"Login","Ingresar"
"Login Information","Información de Inicio de sesión"
"Login or Create an Account","Inicie sesión o cree una cuenta"
"New Customers","Nuevos clientes"
"Password","Contraseña"
"Personal Information","Información personal"
"Please log in below:","Por favor acceda:"
"Please select region, state or province","Seleccione una región, estado o provincia"
"Register","Registrarse"
"Register and save time!","Regístrese y ahorre tiempo!"
"Register to Create an Account","Regístrese para crear una cuenta"
"Register with us for future convenience:","Regístrese para su conveniencia:"
"Registered Customers","Clientes Registrados"
"Save in address book","Guardar en la libreta de direcciones"
"Select State/Province...","Seleccione el Estado/Provincia..."
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de facturación de su libreta de direcciones o ingrese una nueva dirección."
"Ship to different address","Enviar a una dirección diferente"
"Ship to this address","Enviar a esta dirección"
"Sign Up for Newsletter","Apuntarse al boletín de noticias"
"State/Province","Estado/Provincia"
"Street Address","Calle"
"Submit","Enviar"
"Telephone","Teléfono"
"Welcome, %s!","Bienvenido, %s!"
"Zip/Postal Code","Código postal"
