"%s's Wishlist","Lista de artículos de interés de %s"
"Add All to Cart","Agregar todo al carrito"
"Add to Cart","Añadir a Carrito"
"Add to Compare","Añadir a Comparar"
"Add to Wishlist","Añadir a Lista de Deseos"
"Added From","Agregado desde"
"Are you sure you want to remove this product from your wishlist?","¿Está seguro de quitar este producto de su lista de artículos de interés?"
"Back","Volver atrás"
"Can't save description %s","No se puede guardar la descripción %s"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Marque esta casilla si quiere agregar un enlace a un feed de RSS para su lista de artículos de interés."
"Comment","Comentario"
"Days in Wishlist","Días en la lista de artículos de interés"
"Edit","Editar"
"Email Sender","Remitente del correo electrónico"
"Email Template","Plantilla del correo electrónico"
"Email address can't be empty.","La dirección de correo no puede estar vacía."
"Email addresses, separated by commas","Direcciones de correo electrónico separadas por comas"
"Enabled","Habilitado"
"General Options","Opciones generales"
"Go to Wishlist","Ir a la Lista de Deseos"
"In stock","En existencia"
"Last Added Items","Ultimos artículos agregados"
"My Wishlist","Mis artículos de interé;s"
"My Wishlist (%d item)","Mi Lista de Deseos (%d item)"
"My Wishlist (%d items)","Mi Lista de Deseos (%d items)"
"Out of stock","Fuera de existencia"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor escriba direcciones de correo electrónico válidas separadas por comas. Por ejemplo juan@dominio.com, jose@dominio.com"
"Please, enter your comments...","Por favor, escriba sus comentarios..."
"Price","Precio"
"Product","Producto"
"Qty","Ctdad"
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","Enlace RSS a la lista de artículos de interés %s's"
"Remove Item","Quitar el artículo"
"Remove This Item","Quitar este artículo"
"SKU","Código"
"Share Wishlist","Compartir Lista de Deseos"
"Share Your Wishlist","Compartir Mi Lista de Deseos"
"Sharing Information","Compartiendo información"
"Update Wishlist","Actualizar Lista de Deseos:"
"View Details","Ver los detalles"
"View Product","Ver el producto"
"Wishlist","Lista de artículos de interés"
"Wishlist Sharing","Compartir Lista de Deseos"
"Wishlist is empty now.","Lista de Deseos está vacía."
"You have no items in your wishlist.","No tiene artículos en su lista de deseos."
