"Add New Address","Agregar nuevas direcciones"
"Add to Cart","Añadir a Carrito"
"Add to Compare","Añadir a Comparar"
"Add to Wishlist","Añadir a Lista de Deseos"
"Address","Dirección"
"Address %s of %s","Dirección %s de %s"
"Allow Guest Checkout","Permitir comprar a los invitados"
"Already registered?","Ya se encuentra registrado?"
"Apply","Aplicar"
"Apply Coupon","Aplicar un cupón"
"Are you sure you would like to remove this item from the shopping cart?","Está seguro de borrar este artículo de su carrito de compras?"
"Back","Volver atrás"
"Back to Shipping Information","Volver a la información de envío"
"Based on your selection, you may be interested in the following items:","Probablemente le interesen también los siguientes artículos:"
"Billing Address","Dirección de Facturación"
"Billing Information","Información  de facturación"
"Billing Information - %s","Información  de facturación - %s"
"Cancel Coupon","Cancelar cupón"
"Card Verification Number Visual Reference","Referencia visual del número de verificación de la tarjeta"
"Cart Subtotal:","Subtotal del carrito:"
"Change","Cambiar"
"Change Billing Address","Cambiar la dirección de facturación"
"Checkout","Realizar Pedido"
"Checkout Options","Opciones de Compra"
"Checkout as Guest","Realizar Pedido como Invitado"
"Checkout as a Guest or Register","Realizar Pedido como Invitado o Registrarse"
"Checkout with Multiple Addresses","Comprar con múltiples direcciones"
"City","Ciudad"
"Company","Compañia"
"Confirm Password","Confirmar la contraseña"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Continuar hacia la información de facturación"
"Continue to Review Your Order","Continuar a la verificación de su pedido"
"Continue to Shipping Information","Continuar a la información de envío"
"Country","País"
"Coupon code ""%s"" is not valid.","El código del cupón ""%s"" no es válido."
"Create Billing Address","Crear una dirección de facturación"
"Create Shipping Address","Crear una dirección de envío"
"Customer Information","Información del cliente"
"Data saving problem","Problema al grabar los datos"
"Default Billing","Facturación por defecto"
"Default Shipping","Envío por defecto"
"Disabled","Deshabilitado"
"Discount Codes","Códigos de descuento"
"Display Cart Summary","Mostrar resumen del carrito"
"Display item quantities","Mostrar las cantidades de los artículos"
"Display number of items in cart","Mostrar el número de artículos en el carrito"
"Easy access to your order history and status","Fácil acceso a su historial de compras y estado"
"Edit","Editar"
"Edit Address","Editar la dirección"
"Edit Billing Address","Editar la información de facturación"
"Edit Items","Editar los artículos"
"Edit Shipping Address","Editar la dirección de envío"
"Edit Your Cart","Editar su carrito"
"Email Address","Dirección de correo electrónico"
"Enabled","Habilitado"
"Enter a New Address","Ingrese una nueva dirección"
"Enter your coupon code if you have one.","Ingrese su código de cupón si tiene uno."
"Enter your destination to get a shipping estimate.","Ingrese su destino para obtener un precio estimado de envío."
"Estimate Shipping and Tax","Estimar envío e impuestos"
"Fast and easy check out","Compra rápida y fácil"
"Forgot an Item?","Olvidó un artículo?"
"Forgot your password?","¿Olvid&oacute; su contrase&ntilde;a?"
"Get a Quote","Obtener un presupuesto"
"Grand Total:","Suma total:"
"Invalid shipping method.","Método de envío inválido"
"Items","Articulos"
"Load customer quote error","Error al cargar el presupuesto del cliente"
"Loading next step...","Cargando el siguiente paso..."
"Login","Ingresar"
