"# of Use","# de Uso"
"%s Item(s)","%s Artículo(s)"
"(Copy data from: %s)","(Copiar datos de: %s)"
"-- Please Select --","-- Por favor, seleccione --"
"A name is required","Se requiere un nombre"
"ALL GROUPS","TODOS LOS GRUPOS"
"Action","Acción"
"Add Attribute","Añadir Atributo"
"Add Design Change","Añadir Cambio de Diseño"
"Add Group","Añadir Grupo"
"Add New","Añadir Nuevo"
"Add New Attribute","Añadir Nuevo Atributo"
"Add New Attribute Set","Añadir Nuevo Conjunto Atributos"
"Add New Group","Añadir Nuevo Grupo"
"Add New Images","Añadir Nuevas Imágenes"
"Add New Search Term","Añadir Nuevo Término de Búsqueda"
"Add New Set","Añadir Nuevo Conjunto"
"Add Product","Añadir Producto"
"Add Product To Websites","Añadir Producto a Sitios Web"
"Add Tier","Añadir Vinculado"
"Add to Cart","Añadir a Carrito"
"Add to Compare","Añadir a Comparar"
"Add to Wishlist","Añadir a Lista de Deseos"
"Additional Information","Información Adicional"
"All","Todos"
"All Product Types","Todos los Tipos de Productos"
"All Websites","Todos los sitios web"
"Apply To","Aplicar a"
"Approved","Aprovado"
"Are you sure you want to delete this category?","Está seguro que desea eliminar esta categoría?"
"Are you sure you would like to remove this item from the compare products?","Está seguro(a) que desea  eliminar este producto del cuadoro comparativo?"
"As low as:","Desde:"
"Associated Products","Productos Asociados"
"Attrib. Set Name","Nombre Conjunto Atrib."
"Attribute Information","Información del Atribudo"
"Attribute Model","Modelo de Atributo"
"Attribute Name:","Nombre Atributo:"
"Attribute Set","Conjunto Atributo"
"Attribute with the same code already exists","Ya existen atributos con el mismo código"
"Autogenerate","Autogenerar"
"Back","Volver atrás"
"Backend Model","Modelo Backend"
"Backend Table","Tabla Backend"
"Backend Table Title","Título Tabla Backend"
"Backorders","Ordenes en espera"
"Based On","Basado En"
"Best Value","Mejor Valor"
"Bottom/Left","Abajo/Izq."
"Bottom/Right","Abajo/Der."
"Browse By","Clasificar por"
"Can be used only with catalog input type Dropdown","Sólo puede ser utilizado con tipo de ingreso lista desplegable"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Sólo puede ser utilizado con tipo de ingreso lista desplegable, selección múltiple y precio"
"Cart Item Attribute","Atributo Artículo Carrito"
"Catalog","Catálogo"
"Catalog Price Scope","Alcance del precio del catálogo"
"Catalog, Search","Catálogo, Búsqueda"
"Categories","Categorías"
"Categories Sitemap","Mapa del Sitio de Categorías"
"Category","Categoría"
"Category Data","Datos de la categoría"
"Category Products","Productos de Categoría"
"Category move error","Error al mover la categoría"
"Change","Cambiar"
"Change status","Cambiar estado"
"Choose an Option...","Elija una Opción..."
"Close Window","Cerrar Ventana"
"Comparable on Front-end","Comparable en Front-end"
"Compare Products","Comparar Productos"
"Conditions Combination","Combinar Condiciones"
"Configurable Product","Producto Configurable"
"Configurable Product Settings","Configuracion de los productos configurables"
"Continue","Continuar"
"Copy From Configurable","Copiar del configurable"
"Create","Crear"
"Create Empty","Crear Vacío"
"Create Product Settings","Crear configuraciones de productos"
"Create Simple Associated Product","Crear producto simple asociado"
"Cross-sells","Venta Cruzada"
"Custom Design","Diseño personalizado"
"Customer Group","Grupo de clientes"
"Customers Reviews","Opiniones de Usuarios"
"Customers Tagged Product","Producto etiquetado por los clientes"
"Data Type for Saving in Database","Tipos de datos para grabar en la base de datos"
"Date Subscribed","Fecha Suscripción"
"Datetime","Fecha"
"Declare attribute value saving scope","Declarar el alcance del valor del atributo a grabar"
"Default Values","Valores por defecto"
"Delete","Borrar"
"Delete Attribute","Borrar atributo"
"Delete Attribute Set","Borrar conjunto de atributos"
"Delete Category","Borrar categoría"
"Delete Option","Borrar opción"
"Delete Search","Borrar búsqueda"
"Delete Selected Group","Borrar el grupo seleccionado"
"Description","Descripción"
"Design","Diseño"
"Disabled","Deshabilitado"
"Display in Suggested Terms","Mostrar en los términos sugeridos"
"Double click on a group to rename it","Doble click en un grupo para renombrarlo"
"Duplicate","Duplicado"
"Duplicate website tier price customer group and quantity.","Duplicar el precio escalonado, el grupo de clientes y la cantidad del sitio web "
"Edit","Editar"
"Edit Attribute Set '%s'","Editar el conjunto de atributos '%s'"
"Edit Product Attribute","Editar el atributo del producto"
"Edit Product Attribute ""%s""","Editar el atributo del producto ""%s"""
"Edit Search","Editar la búqueda"
"Edit Search '%s'","Editar la búqueda '%s'"
"Email","Correo electrónico"
"Empty","Vacío"
"Enabled","Habilitado"
"Error during retrieval of option value: %s","Error durante la recuperación del valor de la opción: %s"
"Exclude","Excluir"
"Failed","Falló"
"Failed to move file: %s","Falló en mover archivo: %s"
"Feature Products","Productos Destacados"
"Filterable (no results)","Filtrable (sin resultados)"
"Filterable (with results)","Filtrable (con resultados)"
"First Name","Nombre"
"Frontend","Vista Delantera"
"Frontend Model","Modelo del Frontend"
"Frontend Properties","Propiedades del Frontend"
"Gallery","Galería"
"General Information","Información general"
"Globally Editable","Editable en forma global"
"Go to Home Page","Ir a la página de Inicio"
"Grid","Cuadricula"
"Grouped Product","Producto Agrupado"
"Groups","Grupos"
"Home","Inicio"
"Image","Imagen"
"Image type and information need to be specified for each store view.","El tipo de imagen y la información deben ser especificos para cada vista de tienda."
"In Stock","En existencia"
"In stock","En existencia"
"Integer","Entero"
"Invalid store specified","La tienda especificada es inválida"
"Inventory","Inventario"
"Is Default","Es por defecto"
"Items %s to %s of %s total","Artículos %s a %s de %s totales"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Los artículos que no quiere mostrar en el catálogo o en los resultados de las búsquedas deben tener como estado 'Deshabilitado' en la tienda deseada."
"Label","Etiqueta"
"Last Name","Apellido"
"Last Notification","Ultima notificación"
"Learn More","Saber más"
"Line %d, Email: %s","Línea %d, correo electrónico: %s"
"Line %d, SKU: %s","Línea %d, código: %s"
"List","Lista"
"List Mode","Modo de la lista"
"Manage Attributes","Gestionar los atributos"
"Maximum Qty Allowed in Shopping Cart","Cantidad máxima permitida en el carrito de compras"
"Media Image","Imágenes de medios"
"Minimum Qty Allowed in Shopping Cart","Cantidad mínima permitida en el carrito de compras"
"Minimum Qty for Item's Status to be Out of Stock","Cantidad minima para que el estado del artículo sea ""sin existencias"""
"More Views","Más vistas"
"My Account","Mi cuenta"
"Name","Nombre"
"New Product","Nuevo producto"
"New Product Attribute","Nuevo atributo del producto"
"New Products","Nuevos productos"
"New Search","Nueva búsqueda"
"New Set Name","Nuevo nombre del conjunto"
"Next","Siguiente"
"No image","No hay imágen"
"No layout updates","Sin actualizaciones de layout"
"None","Ninguno"
"Notify Low Stock RSS","Notificar existencia baja por RSS"
"Notify for Quantity Below","Notificar para cantidad menor que"
"Number of Uses","Número de usos"
"OR","O"
"Old Price:","Precio anterior:"
"Option:","Opción:"
"Options","Opciones"
"Options Control","Control de opciones"
"Options is required","Debe elegir la opción"
"Out of Stock","Fuera de existencia"
"Out of stock","Fuera de existencia"
"Page Title Separator","Separador del título de la página"
"Parent Category","Categoría padre"
"Pending","Pendiente"
"Pending Reviews RSS","Comentarios pendientes por RSS"
"Percentage","Porcentaje"
"Please enter a new group name","Por favor, escriba un nuevo nombre de grupo"
"Please select one or more attributes.","Por favor, seleccione uno o más atributos"
