"Active","Activo"
"Add New Rule","Agregar una nueva regla"
"Apply","Aplicar"
"Apply Rules","Aplicar reglas"
"Attribute Set","Conjunto Atributo"
"By Fixed Amount","Por importe fijo"
"Catalog","Catálogo"
"Catalog Price Rule","Regla de precio para el catálogo"
"Catalog Price Rules","Reglas de precios del catálogo"
"Category","Categoría"
"Conditions","Condiciones"
"Conditions (leave blank for all products)","Condiciones (deje en blanco para todos los productos)"
"Conditions Combination","Combinar Condiciones"
"Customer Groups","Grupos de clientes"
"Date Expire","Fecha de caducidad"
"Date From","Desde fecha"
"Date Start","Fecha de inicio"
"Date To","Hasta fecha"
"Description","Descripción"
"Discount Amount","Cantidad de descuento"
"Edit Rule","Editar la regla"
"Edit Rule '%s'","Editar la regla '%s'"
"Expiration Date","Fecha de expiración"
"From Date","Fecha desde"
"General Information","Información general"
"Inactive","Inactivo"
"New Rule","Nueva regla"
"Options","Opciones"
"Priority","Prioridad"
"Product Attribute","Atributo del producto"
"Promotions","Promociones"
"Rule Information","Información de la regla"
"Rule Name","Nombre de la regla"
"Save and Apply","Guardar y aplicar"
"Start Date","Fecha de inicio"
"Status","Estado"
"To Date","A la fecha"
"To Fixed Amount","Para importe fijo"
"Type","Tipo"
"Update product's %s %s: %s","Actualizar productos %s %s: %s"
"Website","Sitio web"
"Yes","Sí"
