"Comment","Comentario"
"Contact Form","Formulario de contacto"
"Contact Information","Información de contacto"
"Contact Us","Contactar"
"Contacts","Contactos"
"Email","Correo electrónico"
"Email Options","Opciones de correo electrónico"
"Email Sender","Remitente del correo electrónico"
"Email Template","Plantilla del correo electrónico"
"Enable Contact Us","Habilitar Contáctenos"
"Name","Nombre"
"Send Emails To","Enviar correos electrónicos a"
"Submit","Enviar"
"Telephone","Teléfono"
"Unable to submit your request. Please, try again later","Imposible procesar su solicitud. Por favor inténtelo más tarde"
