"Authorize Only","Sólo autorizar"
"Authorize and Capture","Autorizar y capturar"
"Continue Shopping","Continuar comprando"
"Debug","Depurar"
"Email Sender","Remitente del correo electrónico"
"Enable","Habilitar"
"Merchant ID","ID del Comercio"
"Merchant Login","Acceso del comerciante"
"Payment Action","Acción de pago"
"Sandbox","Entorno protegido"
"Thank you for your purchase!","Gracias por su compra!"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Recibirá un correo electrónico de confirmación de su Pedido con los detalles del mismo y un enlace para seguir todo el proceso."
