"API Password","Contraseña API"
"API Signature","Firma API"
"Address","Dirección"
"Authorization","Autorización"
"Billing Information","Información  de facturación"
"City","Ciudad"
"Company","Compañia"
"Continue","Continuar"
"Country","País"
"Custom","Personalizar"
"Daily","Diariamente"
"Discount","Descuento"
"Edit","Editar"
"Edit Shopping Cart","Editar el carrito de compras"
"Email Address","Dirección de correo electrónico"
"Enabled","Habilitado"
"Items in Your Shopping Cart","Artículos en su carrito de compras"
"Learn More","Saber más"
"Login","Ingresar"
"Never","Nunca"
"Order","Pedido"
"Partner","Socio"
"Password","Contraseña"
"Payment Action","Acción de pago"
"Payment Method","Método de pago"
"Place Order","Realizar el Pedido"
"Please select a shipping method...","Por favor seleccione un método de envío..."
"Please select region, state or province","Seleccione una región, estado o provincia"
"Price","Precio"
"Product","Producto"
"Product Name","Nombre del producto"
"Qty","Ctdad"
"Reports","Informes"
"Review Order","Revisar el Pedido"
"Sale","Venta"
"Shipping","Envíos"
"Shipping Address","Dirección de envío"
"Shipping Information","Información del envío"
"Shipping Method","Método de envío"
"Size","Tama&ntilde;o"
"Sorry, no quotes are available for this order at this time.","Disculpe, no hay presupuestos disponibles para este Pedido en este momento."
"Sort Order","Ordenar pedido"
"State/Province","Estado/Provincia"
"Static","Estático"
"Street Address","Calle"
"Submitting order information...","Enviando la información del Pedido…"
"Telephone","Teléfono"
"There was an error processing your order. Please contact us or try again later.","Hubo un error al procesar su pedido. Por favor, contacte con nosotros o inténtelo de nuevo más tarde."
"Update Shipping Method","Actualizar el método de envío"
"User","Usuario"
"View","Ver"
"Void","Nulo"
"Website Payments Standard","Website Payments Standard ()"
"Yes","Sí"
"Zip/Postal Code","Código postal"
