"# of Uses","# de usos"
"Action","Acción"
"Add New Tag","Agregar una nueva etiqueta"
"Add Tags","Agregar etiquetas"
"Add Your Tags:","Agregar sus etiquetas:"
"Add to Cart","Añadir a Carrito"
"Add to Wishlist","Añadir a Lista de Deseos"
"All Tags","Todas las etiquetas"
"Approved","Aprovado"
"Are you sure you want to delete this tag?","Est&aacute; seguro de borrar esta etiqueta?"
"Are you sure you want to do this?","Est&aacute; seguro de que quiere hacer esto?"
"Back","Volver atrás"
"Back to Tags List","Regresar a la lista de etiquetas"
"Block Information","Información del bloque"
"Change status","Cambiar estado"
"Click on a tag to view your corresponding products.","Presione sobre una etiqueta para ver sus correspondientes productos."
"Country","País"
"Customer Since","Cliente Desde"
"Customers","Clientes"
"Customers Tagged '%s'","Etiquetas de los clientes '%s'"
"Delete","Borrar"
"Delete Tag","Borrar la etiqueta"
"Disabled","Deshabilitado"
"Edit Tag '%s'","Editar la etiqueta '%s'"
"Email","Correo electrónico"
"First Name","Nombre"
"General Information","Información general"
"Grid","Cuadricula"
"Last Name","Apellido"
"List","Lista"
"My Recent Tags","Mis etiquetas recientes"
"My Tags","Mis etiquetas"
"Name","Nombre"
"New Tag","Nueva etiqueta"
"No matches found.","No se encontraron coincidencias"
"Other people marked this product with these tags:","Otras personas marcaron este producto con las siguientes etiquetas:"
"Pending","Pendiente"
"Pending Tags","Etiquetas pendientes"
"Popular Tags","Etiquetas populares"
"Price","Precio"
"Product Name","Nombre del producto"
"Product SKU","C&oacute;digo del producto"
"Product Tags","Etiquetas del producto"
"Products","Productos"
"Products Tagged with '%s'","Productos etiquetados con '%s'"
"Products tagged with '%s'","Productos etiquetados con '%s'"
"SKU","Código"
"Save Tag","Guardar la etiqueta"
"Status","Estado"
"Store View","Vista de tienda"
"Tag","Etiqueta"
"Tag Name","Nombre de la etiqueta"
"Tags","Etiquetas"
"Tags:","Etiquetas:"
"Telephone","Teléfono"
"Unable to find any products tagged with '%s' in the current store","No se pudieron encontrar productos etiquetados con '%s' en la tienda actual"
"Unable to remove tag. Please, try again later.","No se pudo quitar la etiqueta. Por favor, intente más tarde."
"Update","Actualizar"
"Use spaces to separate tags. Use single quotes (') for phrases.","Use espacios para separar etiquetas. Use comillas simples (') para las frases."
"View All Tags","Ver todas las etiquetas"
"View Customers","Ver los clientes"
"View Products","Ver los productos"
"You have not tagged any products yet.","No ha etiquetado ningún producto aún."
"ZIP/Post Code","Código postal"
