" and ","і "
"(For US 2-letter state names)","(Для ЗША 2-літары назвы штата)"
"(If left empty will be auto-generated)","(Калі застанецца пустым, будзе аўта-згенеравана)"
"(Leave empty for first spreadsheet)","(Заставіць пустым для першай табліцы)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Прадукты будуць дададзены/адноўлены у гэту краму, калі слупок «крама» застаўся пустым у імпартыруемам файле.)"
"(Shift-)Click or drag to change value","(Shift-)Клікніце, ці перацягніце каб змяніць дадзеныя"
"(Starting with)","(Пачынаючы з)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Калі 'Не', толькі mapped fields будуць імпартыраваны. Калі вы mapping, выкарыстоўвайце 'column1', 'column2', і г.д.)"
"(You have to increase php memory_limit before changing this value)","(Вы павінны павялічыць  php memory_limit перад зменай гэтах дадзеных)"
"(\t for tab)","(t for tab)"
"- Click on any of the time parts to increase it","- Клікніце на любую частку часу каб павялічыць яе"
"- Hold mouse button on any of the above buttons for faster selection.","- Утрымлівайце мышку на любой кнопцы зверху  для больш хуткага доступу"
"- Use the %s buttons to select month","- Выкарыстаўвайце %s кнопкі каб выбраць месяц"
"- Use the %s, %s buttons to select year","- Выкарыстоўвайце %s, %s кнопкі каб выбраць год"
"- or Shift-click to decrease it","- ці Shift-click каб паменьшыць яго"
"- or click and drag for faster selection.","- ці клікніце і перацягніце для больш хуткага выбару"
"-- Please Select --","-- Каліласка выберыце --"
"-- Please select --","-- Каліласка выберыце --"
"--Please Select--","--Каліласка выберыце--"
"1 Hour","1 гадзіна"
"12 Hours","12 Гадзін"
"2 Hours","2 Гадзіны"
"24 Hours","24 Гадзіны"
"6 Hours","6 Гадзін"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Старонка не знойдзена.</p>"
"About the calendar","Аб календары"
"Account Created in:","Акаўнт створаны:"
"Account Created on (%s):","Акаўнт створаны (%s):"
"Account Created on:","Акаўнт створаны:"
"Account Information","Інфармацыя аб акаўнце"
"Account status","Статус акаўнта"
"Action","Дзеянне"
"Active","Актыўны"
"Add","Дадаць"
"Add Exception","Дадаць Выключэнне"
"Add Field Mapping","Дадаць Field Mapping"
"Add Field with URL:","Дадаць радок з URL:"
"Add New Image","Дадаць новую карцінку"
"Add New Profile","Дадаць новы прафайл"
"Add New Role","Дадаць новую роль"
"Add New Template","Дадаць новы шаблон"
"Add New User","Дадаць новага карыстальніка"
"Add after","Дадаць пасля"
"Address Type:","Дадаць Тып:"
"Admin","Адміністратар"
"Advanced Admin Section","Разшыраная секцыя адміністратара"
"Advanced Profiles","Разшыраныя прафайлы"
"Advanced Section","Разшыраная секцыя"
"All","Усе"
"All Allowed Countries","Усе дазволеныя краіны"
"All Cache","Усі кэшы"
"All Files","Усі файлы"
"All Store Views","Усі выгляды крамы"
"All Tags","Усі Тагі"
"All Websites","Усі вэбсайты"
"All countries","Усі краіны"
"All fields","Усі радкі"
"Any","Любы"
"Any Attribute Set","Любы набор атрыбутаў"
"Any Group","Любая група"
"Any Status","Любы статус"
"Any Store","Любая крама"
"Any Type","Любы тып"
"Any Visibility","Любы Visibility"
"Archive file name:","Назва файлу архіву:"
"Are you sure that you want to delete this template?","Вы ўпэўнены, что жадаеце выдаліць гэты шаблон?"
"Are you sure that you want to strip tags?","Вы ўпэўнены, что жадаеце зняць тэгі?"
"Are you sure you want to do this?","Вы ўпэўнены, что жадаеце зрабіць гэта?"
"Area","Обласць"
"Attribute Set Name:","Назва набора атрыбутаў:"
"Attributes","Атрыбуты"
"Back","Назад"
"Back to Login","Назад да старонкі Увахода"
"Base currency","Асноўная валюта"
"Billing Address","Billing адрас"
"Block Information","Інфармацыя блока"
"Both (without and with tax)","Абодва (з і без падатка)"
"Browse Files...","Паказаць файлы..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle with з дзінамічным коштам не можа ўключаць опцыі, створаныя карыстальнікам. Опцыі не будуць захаваны."
"Cache Control","Кантроль кэша"
"Cache Control (beta)","Кантроль кэша (beta)"
"Cache Management","Кіраванне кэшам"
"Cancel","Адмена"
"Catalog","Каталог"
"Catalog Rewrites","Каталог Rewrites"
"Category","Катэгорыя"
"Category:","Катэгорыя:"
"Choose an attribute","Выберыце атрыбут"
"Close","Зачыніць"
"Complete","Завершана"
"Configuration","Канфігурацыя"
"Confirmed email:","Паццверджаны email:"
"close","зачыніць"
