"Add Your Review","Schrijf een review"
"All Reviews","Alle reviews"
"Allow Guests to Write Reviews","Reviews door gasten toestaan"
"Approved","Akkoord"
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
"Are you sure?","Weet je het zeker?"
"Average Customer Rating","Gemiddelde klantwaardering"
"Average Customer Rating:","Gemiddelde klantwaardering:"
"Back","Terug"
"Back to Main Product Info","Terug naar productpagina"
"Back to My Reviews","Terug naar reviews-overzicht"
"Back to Product Reviews","Terug naar productreviews"
"Be the first to review this product","Schrijf de eerste review over dit product"
"Created On","Aangemaakt Op"
"Customer","Klant"
"Customer Reviews","Klantenreviews"
"Customers Reviews","Klanten-reviews"
"Delete","Verwijder"
"Delete Review","Review verwijderen"
"Detailed Rating","Gedetailleerde waardering"
"Guest","Bezoeker"
"Manage Ratings","Beheer waarderingen"
"My Product Reviews","Productreviews"
"My Recent Reviews","Recente reviews"
"Name","Naam"
"New Review","Nieuwe review"
"Nickname","Je naam"
"Not Approved","Niet Akkoord"
"Pending","In afwachting"
"Pending Reviews","Te beoordelen reviews"
"Price","prijs"
"Product Name","Product Naam"
"Product Rating","Productwaardering"
"Product Rating:","Productwaardering:"
"Product Reviews","Productreviews"
"Products Reviews","Reviews"
"Qty","Aantal"
"Review Details","Review details"
"SKU","Art.nr."
"Save Review","Review opslaan"
"Status","status"
"Submit Review","Review versturen"
"Summary Rating","Samenvatting waardering"
"Summary of Review","Titel van review"
"Title","Titel"
"Type","Soort"
"Update Status","Status bijwerken"
"View Details","Bekijk details"
"Write Your Own Review","Schrijf je eigen review"
"You have submitted no reviews.","Je hebt nog geen reviews geschreven."
"You're reviewing:","Je plaatst een review over:"
