"* Required Fields","* Verplichte velden"
"--Please Select--","--Maak een keuze--"
"Bank Transfer Payment","Bankoverschrijving"
"Card Verification Number","Verificatienummer"
"Cash On Delivery Payment","Betalen bij levering"
"Check / Money Order","Betaling door middel van Overboeking"
"Credit Card Number","Kredietkaartnummer"
"Credit Card Type","Kredietkaart type"
"Credit Card Types","Kredietkaart types"
"Credit card type is not allowed for this payment method.","Deze creditcard is niet toegestaan voor deze betaalwijze."
"Currency","Valuta"
"Day","Dag"
"Debug Mode","Debugmodus"
"Enabled","Ingeschakeld"
"Expiration Date","Vervaldatum"
"Incorrect credit card expiration date.","Onjuiste vervaldatum van creditcard."
"Instructions","Instructies"
"Invalid Credit Card Number","Ongeldig credit card nummer"
"Issue Number","Uitgiftenummer"
"Make Check Payable to","Maak overboeking naar:"
"Make Check payable to:","Maak overboeking naar:"
"Maximum Order Total","Maximum orderbedrag"
"Merchant ID","Merchant-ID"
"Minimum Order Total","Minimum orderbedrag"
"Month","Maand"
"N/A","n.v.t."
"New Order Status","Nieuwe orderstatus"
"Password","Wachtwoord"
"Payment Method","Betaalmethode"
"Payment Methods","Betaalmethodes"
"Payment Methods Section","Sectie Betaalmethodes"
"Payment Services","Betaalservices"
"Payment from Applicable Countries","Betaling van toepasselijke landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Please enter a valid credit card verification number.","Geef a. j. b. een geldig credit card verificatie nummer op."
"Purchase Order","Inkooporder"
"Purchase Order Number","Inkoopordernummer"
"Selected payment type is not allowed for billing country.","Geselecteerde betaalmethode is niet toegestaan voor het land geselecteerd bij het factuuradres."
"Send Check to","Maak overboeking naar"
"Send Check to:","Maak overboeking naar:"
"Shipping Amount","Afleverbedrag"
"Sort Order","Sorteervolgorde"
"Start Date","begindatum"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro uitgiftenummer"
"Switch/Solo/Maestro Only","Uitsluitend Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Begindatum Switch/Solo/Maestro"
"Tax Amount","BTW-bedrag"
"Test Mode","Test Modus"
"The payment review action is unavailable.","De betaalcontrole is niet beschikbaar"
"The requested Payment Method is not available.","De gevraagde betaalmethode is niet beschikbaar."
"Title","Titel"
"Unable to save Billing Agreement:","Niet mogelijk om incasso-overeenkomst op te slaan:"
"What is this?","Wat is dit?"
"Year","Jaar"
