"-- Please Select --","--الرجاء الاختيار-"
"Add Secret Key to URLs","أضف مفتاح سري للروابط"
"Add Store Code to Urls","رمز المخزن اضافة الى عناوين المواقع"
"Admin","المدير"
"Admin Base URL","عنوان صفحة المدير"
"Admin User Emails","البريد الإلكتروني للمدير"
"Advanced","متقدم"
"Allow Countries","السماح للبلدان"
"Allow Symlinks","السماح بالروابط الرمزية"
"Allowed IPs (comma separated)","سمحت المءسسه (مفصوله بفواصل)"
"Anchor Text for Next","رابط النص للتالي"
"Anchor Text for Previous","رابط النص للسابق"
"Are you sure?","هل أنت متأكد؟"
"Auto-redirect to Base URL","إعادة التوجيه آلية إلى الربط الأساس"
"Back","رجوع"
"Backup Options","خيارات النسخ الاحتياطي"
"Base Link URL","قاعدة وصلة الموقع"
"Base URL","قاعدة الموقع"
"Browser Capabilities Detection","إكتشف امكانيات المستعرض"
"CSS Settings","إعدادات CSS"
"Cache Storage Management","إدارة التخزين المؤقت"
"Cancel","إلغاء"
"Card type does not match credit card number.","لا يطابق نوع البطاقة رقم بطاقة الائتمان."
"Code","رمز"
"Cookie Domain","Cookie الملك"
"Cookie Lifetime","Cookie المده الزمنية"
"Cookie Path","Cookie الطريق"
"Cookie Restriction Mode","وضع تقييد ملفات تعريف الارتباط"
"Copyright","حقوق الطبع والنشر"
"Country","الدولة"
"Create Store","إنشاء متجر"
"Create Store View","إنشاء عرض متجر"
"Create Website","إنشاء موقع"
"Credit card number does not match credit card type.","رقم بطاقة الائتمان لا يطابق نوع بطاقة الائتمان."
"Custom Admin Path","مسار المسؤول معدل"
"Custom Admin URL","عنوان URL مخصص للمدير"
"Custom Design","تصميم مخصص"
"Custom Email 1","البريد الإلكتروني المخصص 1"
"Custom Email 2","البريد الإلكتروني المخصص 1"
"Custom Variables","المتغيرات المخصصة"
"Customer Support","دعم العملاء"
"Dashboard","لوحة التحكم"
"Date From","التاريخ من"
"Date To","التاريخ إلى"
"Debug","نقح"
"Default","الافتراضي"
"Default Country","البلد الافتراضي"
"Default No-route URL","عنوان URL الافتراضي دون توجيه"
"Default Pages","الصفحات الافتراضية"
"Default Store","المتجر الافتراضي"
"Default Store View","عرض المتجر الافتراضي"
"Default Title","العنوان الافتراضي"
"Default Web URL","رابط الويب الإفتراضي"
"Delete","احذف"
"Delete Store","حذف متجر"
"Delete Store View","حذف عرض متجر"
"Design","تصميم"
"Design Change","تغيير التصميم"
"Developer","مطور"
"Developer Client Restrictions","المطور العملاء القيود"
"Disable Email Communications","تعطيل البريد الإلكتروني والاتصالات"
"Disable Modules Output","تعطيل وحدات الإخراج"
"Display Demo Store Notice","إشعار عرض المتجر التجريبي"
"Edit Design Change","تعديل تغيير التصميم"
"Edit Store","تعديل متجر"
"Edit Store View","تعديل عرض المتجر"
