"-- Please Select --","--الرجاء الاختيار-"
"Actions","اعمال"
"Add Layout Update","إضافة تحديث الشكل"
"All","الكل"
"All Pages","كل الصّفحات"
"All Product Types","كل انواع المنتجات"
"Anchor Categories","مرتكز التصنيفات"
"Apply","تطبيق"
"Assign to Store Views","تعيين إلى مظهر المتجر"
"Big Image","صورة كبيرة"
"CMS","نظام ادارة المحتوى"
"Categories","فئات"
"Choose...","اختر..."
"Close","إغلاق"
"Continue","استمر"
"Delete","احذف"
"Design Package/Theme","التصميم المجموعة/الثيم"
"Export to:","تصدر الى:"
"Generic Pages","صفحات عامة"
"Images","صور"
"Insert Widget","إدراج المربع الجانبي"
"Layout Updates","تحديثات التخطيط"
"New Widget Instance","نموذج مربع جانبي جديد"
"Next page","الصفحة التالية"
"Non-Anchor Categories","تصنيفات بدون روابط"
"Not Selected","غير محدد"
"Open Chooser","افتح الاختيارى"
"Page","صفحة"
"Previous page","الصفحة السابقة"
"Products","المنتجات"
"Remove Layout Update","إزالة تحديث الشكل"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Select All","اختيار الكل"
"Select Visible","اختيار الظهور"
"Settings","الإعدادات"
"Sort Order","الترتيب"
"Specified Page","صفحة محددة"
"Template","قالب"
"The information in this tab has been changed.","لقد تم تغيير المعلومات الموجودة في علامة التبويب هذه."
"The widget instance has been deleted.","لقد تم حذف نموذج المربع الجانبي من واجهة مستخدم."
"The widget instance has been saved.","تم حفظ نموذج المربع الجانبي."
"Thumbnail","صورة مصغره"
"Type","النوع"
"Unselect All","غير منتقي للجميع"
"Unselect Visible","غير مختار الظاهر"
"View","عرض"
"Widget","المربع الجانبي"
"Widget ID","معرف المربع الجانبي"
"Widget Insertion","المربع الجانبي المدرج"
"Widget Options","خيارات المربع الجانبي"
"Widget Type","نوع المربع الجانبي"
"Widgets","المربعات الجانبية"
"per page","بالصفحة"
