"Add","إضافة"
"Add New Role","اضف دور جديد"
"Address Type","نوع العنوان"
"Admin","المدير"
"Allow","سماح"
"Assigned","المحال"
"Attribute Set","مجموعة السمة"
"Attributes","الصفات"
"Automatically Return Credit Memo Item to Stock","إعادة مذكرة بطاقة الائتمان تلقائياً المخزن"
"Back","رجوع"
"Backorders","طلبات لمنتجات غير متوفرة"
"Base Currency","العملية الاساسية"
"Catalog","دليل المنتجات"
"Category ID","رقم القسم"
"City","المدينة"
"Company","الشركة"
"Country","الدولة"
"Coupon Code","رمز قسيمة الخصم"
"Create","إنشاء"
"Create Permanent Redirect for old URL","إنشاء ""إعادة توجيه دائمة"" لعنوان URL القديم"
"Customer","العميل"
"Customer Address","عنوان العميل"
"Customer First Name","الاسم الأول للعميل"
"Customer Last Name","اسم عائلة العميل"
"Delete","احذف"
"Deny","رفض"
"Discount","خصم"
"Discount Amount","تخفيض الكمية"
"Edit","تعديل"
"Edit Role","تعديل الدور"
"Email","البريد الإلكتروني"
"Enable Qty Increments","تمكين زيادة الكميات"
"Exclude","استبعاد"
"File Name","اسم الملف"
"First Name","الإسم الأول"
"Gift Message","رسالة الاهداء"
"Grand Total","المجموع الاجمالى"
"Group","مجموعة"
"Guest","زائر"
"ID","التعريف"
"Label","علامة"
"Last Name","اسم العائلة"
"Manage Stock","إدارة المخزون"
"Maximum Qty Allowed in Shopping Cart","الكمية القصوى المسموح بها في سلة التسوق"
"Minimum Qty Allowed in Shopping Cart","الكمية الدنيا المسموح بها في سلة التسوق"
"New Role","صلاحية جديدة"
"Notify for Quantity Below","اخطار لكمية ادناه"
"Order","طلب"
"Order Comments","ملاحظات الطلب"
"Order Date","تاريخ الطلب"
"Order ID","رقم الطلب"
"Order Status","حالة الطلب"
"Orders","الطلبات"
"Original Price","السعر الأصلي"
"Payment Method","طريقة الدفع"
"Phone Number","رقم الهاتف"
"Position","موقع"
"Price","السعر"
"Product","المنتج"
"Product ID","الرمز التعريفي للمنتج"
"Qty","الكميّة"
"Qty Increments","زيادة الكميات"
"Qty Uses Decimals","كمية تستخدم ارقام عشرية"
"Role Info","معلومات الدور"
"Role Information","معلومات الدور"
"Role Name","اسم الدور"
"Role Users","مستخدمين الدور"
"Roles","ادوار"
"SKU","رمز المنتج"
"Sales","المبيعات"
"Save","حفظ"
"Shipping Amount","كمية الشحن"
"Shipping Method","طريقة الشحن"
"State","ولاية"
"Stock Availability","توفر المخزون"
"Stock Status","حالة المخزن"
"Store Name","اسم المتجر"
"Subtotal","الإجمالي"
"System","النظام"
"Tax Amount","كمية الضريبة"
"Tax Percent","نسبة الضريبة"
"Tax Rate","معدل الضريبة"
"Total Due","بسبب المجموع"
"Total Paid","مجموع المدفوعات"
"Total Refunded","اجمالي الاسترداد"
"Type","النوع"
"URL","الرابط"
"Update","تحديث"
"ZIP/Postal Code","الرمز البريدي"
