"Alert Email Sender","تنبيه البريد الالكتروني للمرسل"
"Alert subscription has been saved.","لقد تم حفظ التنبيه الاشتراك."
"Allow Alert When Product Price Changes","اتاحة تنبيه تغيير السعر"
"Error Email Recipient","خطأ فى مستقبل الرسالة"
"Error Email Sender","خطأ فى ارسال الرسالة"
"Error Email Template","خطأ فى قالب الرسالة"
"Frequency","التردد"
"Price Alert Email Template","قالب رسالة تنبيه تغيير السعر"
"Price:","السعر:"
"Product Alerts","تنبيهات المنتج"
"Product Alerts Run Settings","إعدادات تنبيهات المنتج"
"Start Time","زمن البداية"
"You will no longer receive price alerts for this product.","لن تتسلم تنبيهات تغيير السعر لهذا المنتج مجدداً."
"The product was not found.","لم يتم العثور على المنتج."
"Unable to update the alert subscription.","غير قادر على تحديث اشتراك التنبيهات."
"Unsubscribe from all price alerts","إلغاء الاشتراك من كل تنبيهات السعر"
"Unsubscribe from all stock alerts","إلغاء الاشتراك من كل تنبيهات المخزون"
"You will no longer receive stock alerts for this product.","لن تتسلم تنبيهات تغيير السعر لهذا المنتج مجدداً."
