" [deleted]"," [محذوف]"
"* Required Fields","* حقول مطلوبة"
"-- Please Select --","--الرجاء الاختيار-"
"-- Please Select a Category --","--الرجاء اختيار فئة-"
"-- Please select --","-- اختر من فضلك --"
"--Please Select--","--أختر من فضلك--"
"1 Hour","ساعة واحدة"
"12 Hours","12 ساعة"
"12h AM/PM","ساعة 12 ص/م"
"2 Hours","ساعتان"
"24 Hours","24 ساعة"
"24h","ساعة 24"
"2YTD","منذ سنتين"
"6 Hours","6 ساعات"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> خطأ 404</h1> <p>لم يتم العثور على الصفحة.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>تنبيه</strong>: كلمة التحقق حساسة لحالة الأحرف."
"A user with the same user name or email already exists.","مستخدم مع نفس اسم المستخدم أو البريد الإلكتروني موجود بالفعل."
"ASCII","آسكي"
"About the calendar","حول التقويم"
"Account Created in:","انشاء حساب في :"
"Account Information","معلومات الحساب"
"Account Status","حالة الحساب"
"Action","إجراء"
"Actions","اعمال"
"Active","فعال"
"Add","إضافة"
"Add New","إضافة جديد"
"Add New Block","اضافة مساحة جديدة"
"Add New Image","اضف صورة جديدة"
"Add New Role","اضف دور جديد"
"Add New Template","إضافة قالب جديد"
"Add New URL Rewrite","إضافة إعادة كتابة URL جديد"
"Add New User","اضف مستخدم جديد"
"Add New Variable","إضافة متغير جديد"
"Add Products","إضافة منتجات"
"Add URL Rewrite","إضاف إعادة كتابة URL"
"Add URL Rewrite for a Category","اضافة URL لقسم"
"Add URL Rewrite for a Product","اضافة URL إعادة كتابة لمنتج"
"Add after","إضافة بعد"
"Additional Cache Management","إدارة ذاكرة التخزين المؤقت الإضافية"
"Admin","المدير"
"All","الكل"
"All Allowed Countries","يسمح لجميع البلدان"
"All Cache","ذاكرة التخزين المؤقت"
"All Files","كل الملفات"
"All Reviews","كل التقييمات والآراء"
"All Store Views","واجهه جميع المواقع"
"All Websites","جميع المواقع"
"All countries","جميع الدول"
"All valid rates have been saved.","تم حفظ كل الأسعار الصحيحة."
"Always (during development)","دائماً (أثناء التطوير)"
"Amounts","المبالغ"
"An error occurred while clearing the JavaScript/CSS cache.","حدث خطأ أثناء مسح ذاكرة التخزين الخاصة ب JavaScript/CSS"
"An error occurred while clearing the image cache.","حدث خطأ أثناء مسح ذاكرة تخزين الصور."
"An error occurred while deleting this role.","حدث خطأ أثناء حذف هذه الصلاحية."
"An error occurred while saving account.","حدث خطأ أثناء حفظ حساب."
"An error occurred while saving this role.","حدث خطأ أثناء حفظ هذه الصلاحية."
"Any","اي"
"Are you sure you want to do this?","هل أنت متأكد أنك تريد فعل ذلك؟"
"Assigned","المحال"
"Attributes","الصفات"
"Authorize","تصريح"
"Automatic (equalize price ranges)","التلقائي (تكافؤ الأسعار)"
"Automatic (equalize product counts)","التلقائي (معادلة حساب المنتج)"
"Back","رجوع"
"Backup","نسخة احتياطية"
"Backup Name","اسم النسخة الاحتياطية"
"Backup options","خيارات النسخ الاحتياطي"
"Backups","الاحتياطات"
"Base currency","العملية الاساسية"
"Bcc","نسخة مخفية"
"Bestsellers","الأكثر مبيعاً"
"Billing Address","عنوان الفاتورة"
"Billing Agreements","اتفاقيات الدفع"
"Block Information","اغلاق المعلومات"
"Blocks","قطع"
"Both (without and with tax)","كلا من (بدون و مع الضريبة)"
"Browse Files...","استعراض ملفات..."
"By Email","عبر البريد الإلكتروني"
"By IP","عبر IP"
"By IP and Email","بواسطة ال IP والبريد الإلكتروني"
"CMS","نظام ادارة المحتوى"
"CSV","CSV ملف"
"Cache Control","التحكم في التخزين المؤقت"
"Cache Management","إدارة ذاكرة التخزين المؤقت"
"Cache Type","نوع التخزين المؤقت"
"Cancel","إلغاء"
"Cannot update item quantity.","لا يمكن تحديث كمية المنتج."
"Card Verification Number","رقم التحقق من البطاقة"
"Catalog","دليل المنتجات"
"Catalog Price Rules","قواعد الاسعار فى دليل المنتجات"
"Catalog Rewrites","Rewrites دليل المنتجات"
"Categories","فئات"
"Category","القسم"
"Category:","القسم:"
"Checkbox","صندوق الإختيار"
"Choose Store View:","اختيار منظر المتجر:"
"Clear","مسح"
"Close","إغلاق"
"Code","رمز"
"Complete","تكملة"
"Configuration","الضبط"
"Confirm New Password","تأكيد كلمة المرور الجديدة"
"Confirmed email:","تأكيد البريد الإلكتروني:"
"Continue","استمر"
"Convert to Plain Text","تحويل إلى نص عادي"
"Cookie (unsafe)","ملف تعريف الارتباط (غير أمن)"
"Country","الدولة"
"Country:","البلد:"
"Coupons","قسائم الخصم"
"Create","إنشاء"
"Create DB Backup","إنشاء نسخة احتياطية لقاعدة البيانات"
"Create New Attribute","انشاء سمة جديدة"
"Created At","انشئة في "
"Credit Card Number","رقم بطاقة الائتمان"
"Credit Card Type","نوع بطاقة الائتمان"
"Credit Memo History","  تاريخ المذكرة الائتمانية "
"Credit Memo Totals","مجموع المذكرة الاتمانية"
"Credit Memos","المذكرة الائتمانية"
"Currency","العملة"
"Current Configuration Scope:","التشكيل الحالي لنطاق:"
"Current Month","الشهر الحالي"
"Custom","مخصص"
"Custom Variables","المتغيرات المخصصة"
"Customer","العميل"
"Customer Group:","مجموعة العملاء:"
"Customer Groups","مجموعات العملاء"
"Customer Name","اسم العميل"
"Customer Reviews","مراجعات العميل"
"Customer Shopping Carts","عربات تسوق الزبون"
"Customer Tax Classes","شرائح العميل الضريبية"
"Customers","العملاء"
"Customers by Orders Total","اجمالي العملاء بعدد الاوامر"
"Dashboard","لوحة التحكم"
"Database","قاعدة البيانات"
"Date","التاريخ"
"Date & Time","التاريخ و الوقت"
"Date Added","اضافة تاريخ"
"Date selector","اختيار التاريخ"
"Day","يوم"
"Debug","نقح"
"Default Billing Address","عنوان الدفع الافتراضي"
"Default Config","اعداد افتراضي"
"Default Values","القيم الافتراضية"
"Default scope","نطاق افتراضي"
"Delete","احذف"
"Delete Block","المساحة قد حذفت"
"Delete File","حذف ملف"
"Delete Image","حذف الصورة"
"Delete Role","حذف الدور"
"Delete Store","حذف متجر"
"Delete Store View","حذف عرض متجر"
"Delete Template","حذف القالب"
"Delete User","حذف المستخدم"
"Description","الوصف"
"Design","تصميم"
"Details","التفاصيل"
"Disable","إبطال"
"Disabled","غير مفعل"
"Display default currency","عرض العملة الافتراضية"
"Download","تحميل"
"Downloads","التحميلات"
"Drop-down","القائمة المنسدلة"
"Edit","تعديل"
"Edit Block","اضافة مساحة"
"Edit Design Change","تعديل تغيير التصميم"
"Edit Email Template","تعديل قالب البريد الإلكتروني"
"Edit Order","تعديل الطلب"
"Edit Queue","اضافة قالب"
"Edit Role","تعديل الدور"
"Edit Store View","تعديل عرض المتجر"
"Edit System Template","تعديل قالب النظام"
"Edit Template","تعديل قالب"
"Edit URL Rewrite","تعديل إعادة كتابة URL"
"Edit User","تعديل مستخدم"
"Email","البريد الإلكتروني"
"Email Address:","البريد الإلكتروني:"
"Email to a Friend","ارسال الى صديق"
"Email:","البريد الالكترونى:"
"Enable","تفعيل"
"Enabled","تفعيل"
"Entity Type","نوع الكيان"
"Entity type:","نوع الكيان:"
"Error","خطأ"
"Excl. Tax","غير شامل الضريبة"
"Exclude media folder from backup","استبعاد المجلد وسائط من النسخ الاحتياطي"
"Expiration Date","تاريخ انتهاء الصلاحية"
"Export","استخراج"
"Export CSV","تصدير ال CSV"
"Export to:","تصدر الى:"
"FTP Host","مضيف FTP"
"FTP Host[:Port]","مضيف FTP [: المنفذ]"
"FTP Login","تسجيل دخول FTP"
"FTP Password","كلمة مرور بروتوكول نقل الملفات"
"FTP credentials","أوراق اعتماد بروتوكول نقل الملفات"
"Failed","فشل"
"File","ملف"
"File System","نظام الملفات"
"First Name","الإسم الأول"
"First Name:","الاسم الاول:"
"Fixed","ثابت"
"Flush Catalog Images Cache","مسح التخزين المؤقت للصور"
"Flush JavaScript/CSS Cache","مسح ملفات جافا سكريبت/الثيم من ذاكرة التخزين المؤقت"
"Forgot your password?","هل نسيت كلمة المرور؟"
"From","من"
"General Information","معلومات عامة"
"Global Search","بحث عام"
"Go Today","الذهاب اليوم"
"Go to Top","الانتقال إلى الأعلى"
"Grand Total","المجموع الاجمالى"
"Grid (default) / List","الشبكه (افتراضي) / قائمة"
"Grid Only","الشبكة فقط"
"Guest","زائر"
"HTTP (unsecure)","HTTP (غير امن)"
"Home","الصفحة الرئيسية"
"ID","التعريف"
"IP Address","عنوان الملكية الفكرية"
"Images (.gif, .jpg, .png)","الصور (.gif,.jpg,.png)"
"Images Cache","ذاكرة التخزين المؤقت للصور"
"Import","استيراد"
"Import Service","خدمة الاستيراد"
"Import and Export Tax Rates","استيراد وتصدير معدلات الضرائب"
"Import/Export","استيراد/تصدير"
"Inactive","خاملة"
"Incl. Tax","شامل الضريبة"
"Incoming Message","رسالة واردة"
"Insert Variable...","إدراج متغير..."
"Invalid Form Key. Please refresh the page.","مفتاح النموذج غير صالح. الرجاء تحديث الصفحة."
"Invalid data","بيانات غير صحيحة"
"Invalidated","تاريخ غير صالح"
"Inventory Stock Status","حالة جرد المخزون"
"Invoice History","تاريخ الفاتورة"
"Invoice Totals","مجموع الفاتورة"
"Invoices","الفواتير"
"Is Closed","مغلق"
"Is Default","هي افتراضية"
"Issue Number","رقم الإصدار"
"Items","عناصر"
"JavaScript/CSS","جافا سكريبت/المغلق"
"JavaScript/CSS Cache","ذاكرة التخزين المؤقت للجافا سكريبت/المغلق"
"Last 24 Hours","ال 24 ساعة الماضية"
"Last 7 Days","آخر 7 أيام"
"Last Logged In:","اخر تسجيل للدخول:"
"Last Name","اسم العائلة"
"Last Name:","الاسم الاخير:"
"Lifetime Sales","مبيعات مدى الحياة"
"List (default) / Grid","قائمة (افتراضي) / الشبكه"
"List Only","قائمة فقط"
"Load Template","تحميل قالب"
"Loading...","جاري التحميل..."
"Local Server","نظام محلي"
"Locale","محلي"
"Login","تسجيل الدخول"
"OpenMage Admin","مشرف ماجنتو"
"Magento root directory","الدليل الجذر لماجنتو"
"Manage Attribute Sets","ادارة مجموعات السمات"
"Manage Categories","ادارة الفئات"
"Manage Currency Rates","إدارة أسعار العملات"
"Manage Customers","إدارة العملاء"
"Manage Ratings","ادارة التقديرات"
"Manage Stores","إدارة المتاجر"
"Manage Tax Rules","إدارة قواعد الضريبة"
"Manage Titles (Size, Color, etc.)","ادارة العناوين (حجم, لون, الخ)."
"Manual","دليل"
"Maximum sender name length is 255. Please correct your settings.","طول الحد الأقصى للمرسل هو 255 حرفاً. الرجاء تصحيح الإعدادات الخاصة بك."
"Media (.avi, .flv, .swf)","الوسائط (avi , .flv , .swf.)"
"Messages Inbox","الرسائل الواردة"
"Month","الشهر"
"Most Viewed","يشاهد كثيرا"
"Most Viewed Products","المنتجات الأكثر مشاهدة"
"Multiple Select","خيارات متعددة"
"My Account","حسابي"
"N/A","غير متاح"
"Name","اسم"
"Never (production)","ابداً (الإنتاج)"
"New ","جديد "
"New Accounts","حسابات جديدة"
"New Attribute","سمة جديدة"
"New Block","مساحة جديدة"
"New Category","قسم جديد"
"New Condition","حالة جديدة"
"New Custom Variable","المتغيرات المخصصة"
"New Customer","عميل جديد"
"New Customers","عميل جديد"
"New Email Template","قالب بريد إلكتروني جديد"
"New Group","مجموعة جديدة"
"New Invoice","فاتورة جديدة"
"New Page","صفحة جديدة"
"New Password","كلمة المرور الجديدة"
"New Rating","تقيما جديدا"
"New Review","مراجعة جديدة"
"New Role","صلاحية جديدة"
"New Rule","قاعدة جديدة"
"New Search","بحث جديد"
"New Set","مجموعة جديدة"
"New Shipment","شحن جديد"
"New Sitemap","خريطة موقع جديدة"
"New Store View","عرض متجر جديد"
"New System Template","قالب جديد للنظام"
"New Template","قالب جديد"
"New User","مستخدم جديد"
"Newsletter","القائمة البريدية"
"Newsletter Queue","صف النشرة"
"Newsletter Subscribers","مشتركو النشرة البريدية"
"Newsletter Templates","قوالب النشرة البريدية"
"No","لا"
"No (price without tax)","لا ( سعر بدون ضريبة)."
"No Data","لا توجد بيانات"
"No Data Found","لم يتم العثور على بيانات"
"No Templates Found","لا يوجد قوالب"
"No change","لا يوجد تغيير"
"No records found.","لم يتم العثور على سجلات."
"No search modules were registered","لم يتم تسجيل أية وحدات بحث"
"None","لا شئ"
"Notifications","اشعارات"
"Number of Orders","عدد طلبات الشراء"
"Number of Uses","عدد من الاستخدامات"
"OK","موافق"
"Old rate:","معدل العمر:"
"Online Customers","مستخدمين متصلين"
"Only Once (version upgrade)","مرة واحدة فقط (ترقية الإصدار)"
"Optional","اختياري"
"Options","الخيارات"
"Order","طلب"
"Order ID","رقم الطلب"
"Order Totals","إجمالي الطلبية"
"Orders","الطلبات"
"Out of stock","غير متوفر بالمخزن"
"Pages","الصفحات"
"Parent Product Thumbnail","الأم المنتج المصغره"
"Password","كلمة المرور"
"Password Confirmation","تأكيد كلمة المرور"
"Password:","الرقم السري:"
"Pending Reviews","مراجعة تنتظر المراجعة"
"Per Item","لكل منتج"
"Per Order","لكل طلب"
"Percent","النسبة المئوية"
"Period","الفترة"
"Permanent (301)","دائم (301)"
"Permissions","تصريحات"
"Personal Information","المعلومات الشخصية"
"Please Select","أختر من فضلك"
"Please confirm site switching. All data that hasn't been saved will be lost.","الرجاء التأكد من تحويل النطاق. سيتم فقدان كافة البيانات التي لم يتم حفظها."
"Please enter a number greater than 0 in this field.","فضلا قم بادخال رقم اكبر من 0 في الحقل."
"Please enter a valid $ amount. For example $100.00.","الرجاء ادخال $ من المبلغ. فعلى سبيل المثال 100،00 $."
"Please enter a valid credit card number.","الرجاء ادخال رقم بطاقه الائتمان"
