"* Required Fields","* حقول مطلوبة"
"-- Select --","-- اختر --"
"Add New Option","اضف خيار جديد"
"As Low as","منخفضة كـ"
"As low as","منخفضة"
"Bundle Items","عناصر حزمة"
"Checkbox","صندوق الإختيار"
"Choose a selection...","اختيار تحديد..."
"Click for price","اضغط هنا للأسعار"
"Close","إغلاق"
"Default","الافتراضي"
"Default Qty","الكمية الافتراضية"
"Default Title","العنوان الافتراضي"
"Drop-down","القائمة المنسدلة"
"Dynamic","ديناميكي"
"Excl. Tax","غير شامل الضريبة"
"Fixed","ثابت"
"From","من"
"From:","من:"
"Gift Message","رسالة الاهداء"
"Incl. Tax","شامل الضريبة"
"Input Type","نوع الإدخال"
"Message:","الرسالة:"
"Multiple Select","خيارات متعددة"
"N/A","غير متاح"
"No options of this product are available.","لا توجد خيارات متوفرة لهذا المنتج."
"None","لا شئ"
"Percent","النسبة المئوية"
"Percent Discount","نسبة الخصم"
"Please enter a number greater 0 in this field.","فضلا قم بادخال رقم اكبر من 0 في الحقل."
"Please specify product option(s).","يرجى تحديد خيار(ات) المنتج."
"Position","موقع"
"Price Range","النطاق السعري"
"Price Type","نوع الأسعار"
"Qty:","الكمية:"
"Radio Buttons","أزرار الراديو"
"SKU","رمز المنتج"
"Separately","كل على حدة"
"Ship Bundle Items","اشحن مجموعة العناصر"
"Shipment","شحنه"
"Store View Title","عنوان طريقة عرض المتجر"
"To","إلى"
"To:","إلى:"
"Together","معا"
"Use Default Value","استخدام القيمة الافتراضية"
"save","حفظ"
