"3 Day Select","حدد 3 ايام"
"Allowed Methods","شركات الشحن المسموح بها"
"Commercial","تجاري"
"Debug","نقح"
"Enable","تفعيل"
"Express Saver","اعرب عن الموفر"
"First Overnight","الليلى الاولى"
"Free Shipping","شحن مجاني"
"Google API","جوجل API"
"Ground","سطح الأرض"
"Home Delivery","التسليم بالمنزل"
"Inches","بوصة"
"Location","موقع"
"Media Mail","وسائل الاعلام البريد الالكتروني"
"Merchant ID","رمز تعريف التاجر"
"New Order Status","حالة طلب جديدة"
"No","لا"
"Priority Mail","البريد الالكتروني الاولي"
"Priority Overnight","اولوية الليل"
"Standard Overnight","الموحدة بين عشية وضحاها"
"Title","العنوان"
"Yes","نعم"
