"Advanced Search","بحث متقدم"
"All","الكل"
"Catalog Advanced Search","بحث متقدم فى الكتالوج"
"Catalog Search","دليل المنتجات و البحث"
"Don't see what you're looking for?","لا أرى ما كنت تبحث عن؟"
"Go to Home Page","الانتقال إلى الصفحة الرئيسية"
"Grid","الشبكة"
"Home","الصفحة الرئيسية"
"List","قائمة"
"Maximum Query Length","طول الحد الأقصى للاستعلام"
"Minimal Query Length","طول الحد الأدنى للاستعلام"
"No","لا"
"Popular Search Terms","كلمات البحث الشائعة"
"Rebuild Catalog product fulltext search index","إعادة إنشاء فهرس البحث عن النص الكامل لدليل المنتج"
"Relevance","الصله"
"Results","نتائج"
"Search","بحث"
"Search Settings","اعدادات البحث"
"Search Terms","البحث عن كلمات"
"Search entire store here...","ابحث فى المتجر بالكامل هنا..."
"There are no search terms available.","لا يوجد كلمات بحث متاحة الان."
"Yes","نعم"
