"* Required Fields","* حقول مطلوبة"
"Add All to Cart","إضافة الكل إلى سلة التسوق"
"Add to Cart","أضف لسلة التسوق"
"Add to Compare","إضافة إلى المقارنة"
"Add to Wishlist","إضافة إلى قائمة الأمنيات"
"Back","رجوع"
"Cannot specify product.","لا يمكن تحديد المنتج."
"Click for price","اضغط هنا للأسعار"
"Comment","تعليق"
"Comment:","التعليق:"
"Date Added","اضافة تاريخ"
"Edit","تعديل"
"Email Sender","مرسل البريد الإلكتروني"
"Email Template","قالب البريد الإلكتروني"
"Email addresses, separated by commas","عناوين البريد الالكتروني ، تفصل بينها فواصل"
"Enabled","تفعيل"
"General Options","خيارات عامة"
"In stock","متوفر"
"Last Added Items","أخر السلع المضافة"
"Message","رسالة"
"Options Details","تفاصيل الخيارات"
"Out of stock","غير متوفر بالمخزن"
"Price","السعر"
"Product","المنتج"
"Product Details and Comment","بيانات المنتجات"
"Qty","الكميّة"
"RSS Feed","RSS تغذية"
"Remove Item","إزالة سلعة"
"Remove This Item","حذف هذا العنصر"
"Remove item","أزل المنتج"
"SKU","رمز المنتج"
"Share Options","خيارات المشاركة"
"Sharing Information","بيانات المشاركة"
"User Description","وصف المستخدم"
"View Details","عرض التفاصيل"
"View Product","عرض المنتج"
"What's this?","ما هذا؟"
"Wishlist","قائمة الأمنيات"
