"* Required Fields","* حقول مطلوبة"
"-- Please Select --","--الرجاء الاختيار-"
"About Your Order","حول طلبك"
"About Your Shipment","حول الشحنة الخاصة بك"
"Account Information","معلومات الحساب"
"Action","إجراء"
"Actions","اعمال"
"Activate","تفعيل"
"Active","فعال"
"Add","إضافة"
"Add New Address","أضف عنوان جديد"
"Add Products","إضافة منتجات"
"Add Selected Product(s) to Order","اضف المنتج المختار الى الطلب"
"Add Selected Product(s) to Package","إضافة المنتج المحدد إلى المجموعة"
"Add To Order","إضافة إلى الطلب"
"Add Tracking Number","إضافة رقم تعقب"
"Add to Cart","أضف لسلة التسوق"
"Address","العنوان"
"Adjustment Fee","أجر الضبط"
"Adjustment Refund","اعادة التكيف"
"Allow Reorder","السماح بإعادة الطلب"
"Amount","الكمية"
"Anchor Custom Title","عنوان مرساة مخصص"
"Append Comments","ارفاق التعليقات"
"Apply","تطبيق"
"Apply Coupon Code","تطبيق رمز قسيمة الخصم"
"Are you sure you want to cancel this order?","هل أنت متأكد من إلغاء الطلب هذا؟"
"Are you sure you want to do this?","هل أنت متأكد أنك تريد فعل ذلك؟"
"Are you sure?","هل أنت متأكد؟"
"Authorization","التفويض"
"Back","رجوع"
"Back to Billing Agreements","العودة إلى اتفاقية الدفع"
"Back to My Orders","العودة إلى طلباتي"
"Backordered","طلبات لمنتجات غير متوفرة"
"Bestsellers","الأكثر مبيعاً"
"Billing","الفوترة"
"Billing Address","عنوان الفاتورة"
"Billing Agreements","اتفاقيات الدفع"
"Billing Last Name","الإسم الأخير للفواتير"
"Billing ZIP Code","الرمز البريدي للفاتوترة"
"CSV","CSV ملف"
"Cancel","إلغاء"
"Canceled","تم الإلغاء"
"Capture","اسر"
"Capture Offline","اسر خارج الشبكة"
"Capture Online","اسر داخل الشبكة"
"Carrier","الناقل"
"Carrier/Method","الناقل / طريقة"
"City","المدينة"
"Clear Shopping Cart","إفراغ سلة التسوق"
"Click to change shipping method","اضغط لتغيير طريقة الشحن"
"Close","إغلاق"
"Closed","مغلق"
"Comma-separated.","مفصولة بفواصل."
"Comment","تعليق"
"Comment Text","نص التعليق"
"Comments History","تاريخ التعليقات"
"Company","الشركة"
"Complete","تكملة"
"Configure","ضبط"
"Contents","محتويات"
"Continue","استمر"
"Country","الدولة"
"Coupons","قسائم الخصم"
"Create","إنشاء"
"Create New Customer","إنشاء عميل جديد"
"Create New Order","إنشاء طلب شراء جديد"
"Create New Order for New Customer","إنشاء طلب شراء جديد لعميل جديد"
"Create Order","إنشاء طلب"
"Create Shipment","إنشاء شحن"
"Create Shipping Label...","إنشاء بطاقة عنونة الشحن..."
"Created At","انشئة في "
"Created:","تم الانشاء:"
"Credit Memo","مذكرة الائتمان"
"Credit Memo # ","مذكرة الائتمان # "
"Credit Memo Comment Email Sender","التعليق الائتمان مذكرة البريد الالكتروني للمرسل"
"Credit Memo Comment Email Template","مذكرة التعليق الائتمان نموذج البريد الالكتروني"
"Credit Memo Comment Email Template for Guest","التعليق الائتمان مذكرة البريد الالكتروني نموذج للضيف"
"Credit Memo Comments","ملاحظات المذكرة الائتمانية"
"Credit Memo Email Sender","الائتمان مذكرة البريد الالكتروني للمرسل"
"Credit Memo Email Template","مذكرة الائتمان نموذج البريد الالكتروني"
"Credit Memo Email Template for Guest","مذكرة البريد الالكتروني الائتمان نموذج للضيف"
"Credit Memos","المذكرة الائتمانية"
"Custom Price","سعر مخصص"
"Custom Value","قيمة مخصصة"
"Customer","العميل"
"Customer Email","البريد الإلكتروني للعميل"
"Customer Group","مجموعات العملاء"
"Customer Last Name","اسم عائلة العميل"
"Customer Name","اسم العميل"
"Date","التاريخ"
"Delete","احذف"
"Delete Package","حذف المجموعة"
"Discount","خصم"
"Discount Amount","تخفيض الكمية"
"Edit","تعديل"
"Email","البريد الإلكتروني"
"Email Address","البريد الإلكتروني"
"Email Copy of Credit Memo","نسخة البريد الالكتروني للمذكرة الائتمانية"
"Email Copy of Invoice","ارسال نسخة من الفاتورة بالبريد الإلكتروني"
"Email Copy of Shipment","نسخة البريد الالكتروني للشحنه"
"Email Order Confirmation","البريد الإلكتروني لتأكيد الطلب"
"Enable","تفعيل"
