" Copy"," نسخة"
"Action","إجراء"
"Add New Template","إضافة قالب جديد"
"Add to Queue","اضف الى الصف"
"Are you sure that you want to strip all tags?","هل انت متاكد انك تريد من تشريط جميع العلامات؟"
"Back","رجوع"
"Cancel","إلغاء"
"Cancelled","تم الإلغاء"
"Confirmation Email Sender","مرسل البريد الإلكتروني التأكيدي"
"Confirmation Email Template","قالب البريد الإلكتروني التأكيدي"
"Convert to Plain Text","تحويل إلى نص عادي"
"Create Newsletter Template","إنشاء قالب نشرة بريدية"
"Customer","العميل"
"Customer First Name","الاسم الأول للعميل"
"Customer Last Name","اسم عائلة العميل"
"Date Added","اضافة تاريخ"
"Delete","احذف"
"Delete Selected Problems","حذف المشاكل المحددة"
"Delete Template","حذف القالب"
"Do you really want to cancel the queue?","هل تريد ان تلغي الصف؟"
"Edit Newsletter","تعديل النشرة البريدية"
"Edit Newsletter Template","تعديل قالب النشرة البريدية"
"Edit Queue","اضافة قالب"
"Edit Template","تعديل قالب"
"Email","البريد الإلكتروني"
"Enter your email address","ادخل عنوان بريدك الالكتروني"
"Error Code","كود خطأ"
"Error Text","نص خاطئ"
"Guest","زائر"
"ID","التعريف"
"Message","رسالة"
"Need to Confirm","يحتاج الى تاكيد"
"New Newsletter Template","قالب نشرة بريدية جديد"
"New Template","قالب جديد"
"Newsletter","القائمة البريدية"
"Newsletter Message Preview","معاينة رسالة النشرة البريدية"
"Newsletter Problem Reports","تقارير مشاكل النشرة البريدية"
"Newsletter Queue","صف النشرة"
"Newsletter Styles","أنماط الرسالة الإخبارية"
"Newsletter Subscribers","مشتركو النشرة البريدية"
"Newsletter Subscription","الاشتراك بالقائمة البريدية"
"Newsletter Subscriptions","الاشتراك بالقائمة البريدية"
"Newsletter Templates","قوالب النشرة البريدية"
"Newsletter subscription success","نجاح الاشتراك في النشرة البريدية"
"Newsletter unsubscription success","إلغاء الاشتراك في النشرة البريدية"
"No Templates Found","لا يوجد قوالب"
"Not Sent","غير مرسلة"
"Pause","توقيف"
"Paused","توقف مؤقت"
"Please enter a valid email address.","الرجاء ادخال عنوان بريد الكتروني صحيح."
"Preview","اعادة المشاهدة"
"Preview Template","معاينة القالب"
"Processed","تجهيز"
"Queue Date Start","بدء تاريخ الصف"
"Queue Information","معلومات الصف"
"Queue Start","بداية الصف"
"Queue Subject","موضوع الصف"
"Recipients","المستلمون"
"Reset","اعادة ضبط"
"Resume","استئناف"
"Save As","حفظ باسم"
"Save Newsletter","حفظ النشرة البريدية"
"Save Template","حفظ القالب"
"Save and Resume","حفظ واستمرار"
"Sender","المرسل"
"Sender Email","البريد الإلكتروني للمرسل"
"Sender Name","اسم المرسل"
"Sending","جاري الارسال"
"Sent","تم الإرسال"
"Sign Up for Our Newsletter:","سجل في نشرتنا البريدية:"
"Start","ابدء"
"Status","الحاله"
"Store","متجر"
"Store View","عرض المتجر"
"Subject","العنوان"
"Submit","إرسال"
"Subscribe","اشتراك"
"Subscriber","مشترك"
"Subscribers","مشتركون"
"Subscribers From","مشتركون من"
"Subscription Options","خيارات النشرات البريدية"
"Success Email Sender","نجاح ارسال الرساله الالكترونية"
"Success Email Template","نجاح قالب البريد الالكتروني"
"Template Content","محتوى القالب"
"Template Information","معلومات القالب"
"Template Name","اسم القالب"
"Template Styles","أنماط قالب"
"Template Subject","موضوع القالب"
"Template Type","نوع القالب"
"Thank you for your subscription.","شكراً لتسجيلك"
"This email address is already assigned to another user.","يرتبط عنوان هذا البريد الإلكتروني مع حساب آخر بالفعل."
"Type","النوع"
"Unsubscribe","قم بإلغاء الاشتراك"
"Unsubscribe Selected","الغاء الاشتراك مختارة"
"Unsubscription Email Sender","الغاء الاشتراك البريد الالكتروني للمرسل"
"Unsubscription Email Template","الغاء الاشتراك البريد الالكتروني قالب"
"View Newsletter","عرض النشرة البريدية"
"Website","الموقع"
