"API Password","API كلمة السر"
"API Signature","API التوقيع"
"Address","العنوان"
"Advanced Settings","الإعدادات المُتقدّمة"
"Allowed Credit Card Types","أنواع بطاقات الائتمان المسموحة"
"Also affects mini-shopping cart.","يؤثر أيضًا على سلة التسوق الصغيرة."
"Authorization","التفويض"
"Billing Information","بيانات الدفع"
"By default it is ""reports.paypal.com"".","بشكل افتراضي هو ""reports.paypal.com""."
"City","المدينة"
"Close","إغلاق"
"Company","الشركة"
"Configure","ضبط"
"Continue","استمر"
"Country","الدولة"
"Credit","الرصيد"
"Custom","مخصص"
"Daily","يوميا"
"Discount","خصم"
"Display","عرض"
"Display on Shopping Cart","العرض في سلة التسوق"
"Dynamic","ديناميكي"
"Edit","تعديل"
"Edit Shopping Cart","تعديل سلة التسوق"
"Email Address","البريد الإلكتروني"
"Enable this Solution","تمكين هذا الحل"
"Enabled","تفعيل"
"Event","الحدث"
"Fax","فاكس"
"Help","مساعدة"
"Home Page","الصفحة الرئيسية"
"Items in Your Shopping Cart","السلع في سلة تسوقك"
"Last Transaction ID","رقم آخر المعاملة"
"Learn More","إعرف المزيد"
"Login","تسجيل الدخول"
"N/A","غير متاح"
"Never","مطلقاً"
"No","لا"
"Order","طلب"
"Order ID","رقم الطلب"
"Partner","ِشريك"
"Password","كلمة المرور"
"Payment Action","فعل الدفع"
"Payment Method","طريقة الدفع"
"Payment transactions disallow storing objects.","حركات الدفع لا تسمح بتخزين الكائنات."
"Place Order","إنشاء الطلب"
"Please agree to all the terms and conditions before placing the order.","الرجاء الموافقة على كل الشروط والأحكام قبل انهاء طلبك."
"Please select a shipping method...","من فضلك اختر طريقة شحن..."
"Please select region, state or province","من فضلك اختر منطقة، ولاية أو محافظة"
"Please update order data to get shipping methods and rates","الرجاء تحديث بيانات الطلب للحصول على اسعار وطرق الشحن"
"Position","موقع"
"Price","السعر"
"Product","المنتج"
"Product Name","اسم المنتج"
"Proxy Host","مضيف البروكسي"
"Proxy Port","منفذ البروكسي"
"Qty","الكميّة"
"Reports","تقارير"
"Require Customer's Billing Address","تتطلب معالجة عناوين الفواتير للعميل"
"Review Order","مراجعة الطلب"
"Sale","بيع"
"Sales","المبيعات"
"Schedule","الجدول الزمني"
"Shipping","الشحن"
"Shipping Address","عنوان الشحن"
"Shipping Information","بيانات الشحن"
"Shipping Method","طريقة الشحن"
"Size","الحجم"
"Sort Order","الترتيب"
"State/Province","ولاية/محافظة"
"Static","ساكنة"
"Street Address","عنوان الشارع"
"Submitting order information...","تقديم بيانات طلب الشراء..."
"Subtotal","الإجمالي"
"Test Mode","وضع الاختبار"
"Title","العنوان"
"Transaction ID","رقم المعاملة"
"Transaction Information","معلومات المعاملة"
"Use Proxy","استخدام بروكسي"
"User","المستخدم"
"VAT Number","رقم ضريبة القيمة المضافة"
"View","عرض"
"View Transaction","عرض المعاملة"
"View Transaction Details","عرض تفاصيل المعاملة"
"Yes","نعم"
"Zip/Postal Code","الرمز البريدي"
