"* Required Fields","* حقول مطلوبة"
"-- Please Select --","--الرجاء الاختيار-"
"A group with the same name already exists.","مجموعة بنفس الاسم موجود مسبقاً."
"A product type is not defined for the indexer.","لم يتم تعريف نوع منتج للفهرسة."
"ALL GROUPS","جميع المجموعات"
"AM","صباحا"
"Action","إجراء"
"Actual Price","السعر الفعلي"
"Add","إضافة"
"Add Attribute","اضافة السمة"
"Add Design Change","إضافة تغيير التصميم"
"Add Group","اضافة مجموعة"
"Add New","إضافة جديد"
"Add New Attribute","اضافة سمة جديدة"
"Add New Attribute Set","اضف مجموعة سمات جديد"
"Add New Group","اضف مجموعة جديدة"
"Add New Images","اضف صور جديدة"
"Add New Option","اضف خيار جديد"
"Add New Row","إضافة صف جديد"
"Add New Search Term","اضف كلمة بحث جديدة"
"Add Product","اضف منتج"
"Add Product To Websites","اضف منتج الى الموقع"
"Add Root Category","اضف قسم رئيسي"
"Add Subcategory","قسم فرعي جديد"
"Add Tax","إضافة ضريبة"
"Add to Cart","أضف لسلة التسوق"
"Add to Compare","إضافة إلى المقارنة"
"Add to Wishlist","إضافة إلى قائمة الأمنيات"
"All","الكل"
"All Product Types","كل انواع المنتجات"
"All Websites","جميع المواقع"
"All products","جميع المنتجات"
"All products - recently added products, New products - products marked as new","جميع المنتجات-منتجات أضيفت مؤخرا ، والمنتجات الجديدة-المنتجات التي تم وضع علامة جديدة"
"Allow All Products per Page","السماح لجميع المنتجات في كل صفحة"
"Amount","الكمية"
"Anchor Custom Text","نص مرساة مخصص"
"Anchor Custom Title","عنوان مرساة مخصص"
"Apply To","طبق على"
"Approved","وافق"
"Are you sure you want to delete this category?","هل أنت متأكد أنك تريد حذف هذه الفئة؟"
"Are you sure?","هل أنت متأكد؟"
"Assign","إسناد"
"Associated Products","المنتجات المرتبطه بها"
"Attribute Information","معلومات السمة"
"Attribute Model","موديل السمة"
"Attribute Set","مجموعة السمة"
"Attribute Sets","مجموعة السمة"
"Attributes","الصفات"
"Availability:","متوفر:"
"Back","رجوع"
"Backend Model","نموذج لوحة التحكم"
"Backorders","طلبات لمنتجات غير متوفرة"
"Based On","اعتمادا على"
"Before Order Confirmation","قبل تأكيد الطلب"
