"# of Items (and above)","# للعناصر (و اعلى)"
"# of Items vs. Destination","# للعناصر vs. مسار"
"Calculate Handling Fee","حساب رسوم التوصيل"
"Carrier:","الناقل:"
"City","المدينة"
"Close Window","أغلق النافذه"
"Condition","الشرط"
"Country","الدولة"
"Custom Value","قيمة مخصصة"
"Date","التاريخ"
"Delivered on:","تم الارسال بتاريخ:"
"Description","الوصف"
"Displayed Error Message","رسالة الخطأ المعروضة"
"Enabled","تفعيل"
"Error:","خطأ:"
"Export","استخراج"
"Fixed","ثابت"
"Flat Rate","تسعيرة موحدة"
"Free Shipping","شحن مجاني"
"Handling Fee","رسوم التوصيل"
"Import","استيراد"
"Info:","المعلومات:"
"Local Time","التوقيت المحلي"
"Location","موقع"
"N/A","غير متاح"
"None","لا شئ"
"Options","الخيارات"
"Order Subtotal (and above)","المجموع الإجمالي (واعلى)"
"Origin","الاصل"
"Per Order","لكل طلب"
"Per Package","لكل مجموعة"
"Percent","النسبة المئوية"
"Price","السعر"
"Price vs. Destination","سعر vs. مسار"
"Region/State","المنطقة / الولايه"
"Shipment #","شحنه #"
"Shipping Methods","طريقة الشحن"
"Shipping Settings","إعدادات الشحن"
"Shipping Settings Section","قسم إعدادات الشحن"
"Sort Order","الترتيب"
"Status:","الحالة:"
"Store Pickup","اختيار المتجر"
"Street Address","عنوان الشارع"
"Street Address Line 2","عنوان الشارع سطر ٢"
"There is no tracking available for this shipment.","لا يوجد اي تتبع المتاحة لهذه الشحنه."
"There is no tracking available.","لا يوجد متابعة مسموحة."
"Title","العنوان"
"Track:","المسار:"
"Tracking Number:","رقم التتبع:"
"Tracking information is currently not available. Please ","بيانات التتبع غير موجودة حاليا. من فضلك "
"Type","النوع"
"Weight (and above)","الوزن (و ما فوق)"
"Weight vs. Destination","الوزن vs. المسار"
"ZIP/Postal Code","الرمز البريدي"
"contact us","اتصل بنا"
"email us at ","مراسلتنا على البريد الالكتروني "
