"Add","إضافة"
"Add New Row","إضافة صف جديد"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","أبجدية، - و ـ ينصح بها لأسماء الملفات. يتم استبدال الأحرف الغير لائقة بـ '_'."
"Availability:","متوفر:"
"Back","رجوع"
"Canceled","تم الإلغاء"
"Date","التاريخ"
"Delete","احذف"
"Downloadable Information","معلومات التحميل"
"Edit","تعديل"
"Edit item parameters","تعديل خصائص المنتج"
"Excl. Tax","غير شامل الضريبة"
"File","ملف"
"From:","من:"
"Gift Message","رسالة الاهداء"
"In stock","متوفر"
"Incl. Tax","شامل الضريبة"
"Invoiced","فاتورة"
"List","قائمة"
"Message:","الرسالة:"
"Move","إنقل"
"My Downloadable Products","ملفات التحميل"
"Order #","رقم الطلب"
"Ordered","تم الطلب"
"Out of stock","غير متوفر بالمخزن"
"Pending","في إنتظار المُراجعة"
"Price","السعر"
"Qty","الكميّة"
"Refunded","اعادة ايجاد"
"Remove","ازالة"
"Remove Item","إزالة سلعة"
"SKU","رمز المنتج"
"Sample","عينة"
"See price before order confirmation.","انظر السعر قبل تأكيد الطلب."
"Shipped","تم الشحن"
"Sort Order","الترتيب"
"Status","الحاله"
"Subtotal","الإجمالي"
"The link has expired.","انتهت صلاحية الرابط."
"The link is not available.","الرابط غير محتاح."
"Title","العنوان"
"To:","إلى:"
"Unlimited","غير محدود"
"Update","تحديث"
"Use Default Value","استخدام القيمة الافتراضية"
"View Order","تفاصيل الطلب"
"What's this?","ما هذا؟"
"You have not purchased any downloadable products yet.","أنت لم تشترى اى منتج قابل للتحميل"
