"All Websites","جميع المواقع"
"Display Prices In Emails","عرض أسعار في رسائل البريد الإلكتروني"
"Display Prices In Product Lists","عرض أسعار في قوائم المنتجات"
"Display Prices In Sales Modules","عرض الأسعار في وحدات المبيعات"
"Display Prices On Product View Page","عرض الأسعار في صفحة عرض المنتج"
"Enable FPT","تمكين FPT"
"Excluding FPT","باستثناء FPT"
"Fixed Product Tax","ضريبة ثابتة"
"Fixed Product Taxes","ضرائب ثابتة"
"Include FPT In Subtotal","وتشمل FPT في المجموع الفرعي"
"Including FPT and FPT description","بما في ذلك FPT و FPT الوصف"
"Including FPT only","بما في ذلك FPT فقط"
"Total","إجمالي"
"Total Incl. Tax","الإجمالي شامل الضريبة"
"Total:","الإجمالي:"
