"Add New Rating","اضف تقييما جديدا"
"Assigned Options","الخيارات المخصصة"
"Be the first to review this product","كن أول من يراجع هذا المنتج"
"Default Value","القيمة الاعتيادية"
"Delete Rating","احذف تقييما"
"ID","التعريف"
"Manage Ratings","ادارة التقديرات"
"New Rating","تقيما جديدا"
"Option Title","عنوان الاختيار"
"Option Title:","عنوان الاختيار:"
"Rating Information","معلومات التقييم"
"Rating Title","عنوان التقييم"
"Rating Visibility","تصنيف الرؤية"
"Rating isn't Available","التقييم غير متاح"
"Save Rating","احفظ التقييم"
"Sort Order","الترتيب"
