"Add Option","اضف خيار"
"Attribute Code","رمز السمة"
"Attribute Label","علامة السمة"
"Attribute Properties","خصائص السمة"
"Attribute with the same code","السمة مع نفس الرمز"
"Catalog Input Type for Store Owner","نوع الإدخال لصاحب المتجر"
"Date","التاريخ"
"Decimal Number","رقم عشري"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","قائمة المنتج الافتراضي الذي تم به الفرز لم يتم إنشاؤه في قائمة المنتجات المتوفرة التي يتم حسبها الفرز."
"Default Value","القيمة الاعتيادية"
"Delete","احذف"
"Dropdown","انزال"
"Email","البريد الإلكتروني"
"Entity is not initialized","الكيان لم تتم تهيئة"
"Form Element with the same attribute","عنصر نموذج مع نفس السمة"
"Form Fieldset with the same code","مجموعة حقول النموذج بنفس الكود"
"Form Type with the same code","نوع النموذج مع نفس الكود"
"Input Validation for Store Owner","اثبات المدخلات لصاحب المتجر"
"Integer Number","رقم صحيح"
"Letters","رسائل"
"Letters (a-z, A-Z) or Numbers (0-9)","حروف (أ-ي، من الألف إلى الياء) أو أرقام (0-9)"
"Multiple Select","خيارات متعددة"
"No","لا"
"None","لا شئ"
"Required","مطلوب"
"System","النظام"
"Text Area","منطقة النص"
"Text Field","حقل النص"
"URL","الرابط"
"Unique Value","قيمة نادرة"
"Unique Value (not shared with other products)","قيمة فريدة (لم يتم تقاسمها مع منتجات اخرى)"
"Values Required","القيم مطلوبة"
"Yes","نعم"
"Yes/No","نعم/لا"
