"Add Your Review","إضافة تقييمك"
"Administrator","المدير"
"All Reviews","كل التقييمات والآراء"
"Approved","وافق"
"Are you sure you want to do this?","هل أنت متأكد أنك تريد فعل ذلك؟"
"Are you sure?","هل أنت متأكد؟"
"Average Customer Rating","متوسط تقييم العميل"
"Average Customer Rating:","متوسط تقييم العميل:"
"Back","رجوع"
"Back to Main Product Info","العودة إلى بيانات المنتج الرئيسية"
"Back to My Reviews","العودة إلى تقييماتي"
"Back to Product Reviews","العودة لمراجعات المنتج"
"Be the first to review this product","كن أول من يراجع هذا المنتج"
"Created On","انشئت في"
"Customer","العميل"
"Customer Reviews","مراجعات العميل"
"Customers Reviews","مراجعات العملاء"
"Delete","احذف"
"Delete Review","حذف مراجعة"
"Detailed Rating","التقييم المفصل"
"Guest","زائر"
"ID","التعريف"
"Manage Ratings","ادارة التقديرات"
"My Product Reviews","مراجعاتي"
"My Recent Reviews","مراجعاتي الاخيرة"
"Name","اسم"
"New Review","مراجعة جديدة"
"Nickname","اللقب"
"Pending","في إنتظار المُراجعة"
"Pending Reviews","مراجعة تنتظر المراجعة"
"Price","السعر"
"Product","المنتج"
"Product Name","اسم المنتج"
"Product Rating","تقييم المنتج"
"Product Rating:","تقييم المنتج:"
"Product Reviews","مراجعات المنتج"
"Products Reviews","مراجعات المنتجات"
"Qty","الكميّة"
"Review","المراجعة"
"Review Details","تفاصيل المراجعة"
"Reviews","مراجعات"
"SKU","رمز المنتج"
"Save Review","حفظ المشاهدة"
"Status","الحاله"
"Submit Review","إرسال مراجعة"
"Summary Rating","تقييم الملخص"
"Summary of Review","ملخص المراجعة"
"Title","العنوان"
"Type","النوع"
"View Details","عرض التفاصيل"
"Websites","الموقع"
"Write Your Own Review","كتابة مراجعتك"
"You have submitted no reviews.","لم تقم بإضافة اي مراجعات."
"You're reviewing:","انت تقيم:"
