"""Remember Me"" Default Value","القيمة الافتراضية ""تذكرني"""
"* Required Fields","* حقول مطلوبة"
"Address","العنوان"
"Address Information","معلومات العنوان"
"Back","رجوع"
"City","المدينة"
"Close","إغلاق"
"Company","الشركة"
"Confirm Password","تأكيد كلمة المرور"
"Continue","استمر"
"Country","الدولة"
"Create an Account","انشاء حساب"
"Email Address","البريد الإلكتروني"
"Enable ""Remember Me""","تمكين ""تذكرني"""
"Fax","فاكس"
"Forgot Your Password?","هل نسيت كلمة المرور؟"
"Forgot your password?","هل نسيت كلمة المرور؟"
"General Options","خيارات عامة"
"Login","تسجيل الدخول"
"New Customers","عميل جديد"
"Password","كلمة المرور"
"Personal Information","المعلومات الشخصية"
"Please select region, state or province","من فضلك اختر منطقة، ولاية أو محافظة"
"Registered Customers","الأعضاء المسجلين"
"Remember Me","تذكرني"
"Save in address book","حفظ في دفتر العناوين"
"Sign Up for Newsletter","التسجيل في النشرة البريدية"
"State/Province","ولاية/محافظة"
"Street Address","عنوان الشارع"
"Submit","إرسال"
"VAT Number","رقم ضريبة القيمة المضافة"
"What's this?","ما هذا؟"
"Zip/Postal Code","الرمز البريدي"
