"Actions","اعمال"
"Active","فعال"
"Add New Rule","إضافة قاعدة جديدة"
"Alphanumeric","أبجدي رقمي"
"Apply","تطبيق"
"Apply To","طبق على"
"Apply to Shipping Amount","تنطبق على كمية الشحن"
"Buy X get Y free (discount amount is Y)","قم بشراء س تحصل على ص مجانا (كمية الخصم في ص)."
"By Fixed value","بقيمة ثابتة"
"By Percentage","بنسبة مؤية"
"Can't acquire coupon.","لا يمكن الحصول على قسيمة."
"Cart Attribute","سمة السلة"
"Catalog","دليل المنتجات"
"Code Length","طول الرمز"
"Conditions","الحالات"
"Conditions combination","الجمع بين الشروط"
"Coupon","قسيمة الخصم"
"Coupon Code","رمز قسيمة الخصم"
"Coupon Qty","كمية قسيمة الخصم"
"Created On","انشئت في"
"Customer Groups","مجموعات العملاء"
"Default Label","الملصق الافتراضي"
"Description","الوصف"
"Discount Amount","تخفيض الكمية"
"Discount Qty Step (Buy X)","خطوة خصم الكمية (شراء X)"
"Edit Rule","تعديل قاعدة"
"Fixed amount discount","كمية خصم ثابتة"
"Fixed amount discount for whole cart","نسبة خصم ثابتة لسلة التسوق كلها"
"For matching items only","للسلع المطابقة فقط"
"For shipment with matching items","للشحن مع السلع المطابقة"
"Free Shipping","شحن مجاني"
"General Information","معلومات عامة"
"Generate","توليد"
"ID","التعريف"
"Inactive","خاملة"
"NOT LOGGED IN","غير مسجل الدخول"
"New Rule","قاعدة جديدة"
"No","لا"
"No Coupon","لا قسيمة"
"Number of Uses","عدد من الاستخدامات"
"Payment Method","طريقة الدفع"
"Percent of product price discount","النسبة المئوية للخصم من سعر المنتج"
"Period","الفترة"
"Price in cart","السعر في السلة"
"Priority","أولوية"
"Product attribute combination","سمة الجمع بين المنتجات"
"Promotions","الترقيات"
"Public In RSS Feed","النشر في موجز ويب ل RSS"
"Quantity in cart","الكمية في سلة التسوق"
"Row total in cart","على التوالى فى اجمالى السلة"
"Rule Information","بيانات القاعدة"
"Rule Name","أسم القاعدة"
"Rule is not defined","القاعدة لم يتم تعريفها"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Shipping Country","بلد الشحن"
"Shipping Method","طريقة الشحن"
"Shipping Postcode","الرمز البريدي للشحن"
"Shipping Region","منطقة الشحن"
"Shipping State/Province","محافظة/منطقة الشحن"
"Special Price","سعر خاص"
"Specific Coupon","قسيمة محددة"
"Status","الحاله"
"Subtotal","الإجمالي"
"This rule no longer exists.","هذة القاعدة لم تعد موجودة."
"To Fixed Value","الى قيمة ثابته"
"To Percentage","الى نسبة مؤية"
"Total","إجمالي"
"Total Amount","مجموع الكمية"
"Total Items Quantity","كمية السلع الإجمالية"
"Total Weight","الوزن الإجمالي"
"Update the Product","تحديث المنتج"
"Used","المستخدمة"
"Uses per Coupon","مستخدم كل قسيمة الخصم"
"Website","الموقع"
"Websites","الموقع"
"Yes","نعم"
"total amount","المبلغ الإجمالي"
"total quantity","إجمالي الكمية"
