"Add Minimum Qty","اضف حد أدنى للكمية"
"Allow Qty Below 0","السماح بالكمية 0"
"Allow Qty Below 0 and Notify Customer","السماح بكمية تحت ال 0 و أعلام العميل"
"Automatically Return Credit Memo Item to Stock","إعادة مذكرة بطاقة الائتمان تلقائياً المخزن"
"Backorders","طلبات لمنتجات غير متوفرة"
"By Fixed value","بقيمة ثابتة"
"By Percentage","بنسبة مؤية"
"Decrease Stock When Order is Placed","ازل من المخزون عند استلام الطلب الجديد"
"Display Out of Stock Products","عرض المنتجات الغير متوفرة بالمخزن"
"Enable Qty Increments","تمكين زيادة الكميات"
"In Stock","متوفر في المخزن"
"Inventory","المخزون"
"Inventory Section","قسم المخزن"
"Manage Stock","إدارة المخزون"
"Maximum Qty Allowed in Shopping Cart","الكمية القصوى المسموح بها في سلة التسوق"
"Minimum Qty","الحد الأدنى من الكمية"
"Minimum Qty Allowed in Shopping Cart","الكمية الدنيا المسموح بها في سلة التسوق"
"No Backorders","لا توجد طلبات لمنتجات غير متوفرة"
"Notify for Quantity Below","اخطار لكمية ادناه"
"Only X left Threshold","المتبقي فقط هو الحد"
"Out of Stock","غير متوفر بالمخزن"
"Product Name","اسم المنتج"
"Product Stock Options","خيارات المنتج المخزون"
"Products will still be shown by direct product URLs.","سوف يستمر عرض المنتجات بالرابط المباشر URL للمنتج."
"Qty","الكميّة"
"Qty Increments","زيادة الكميات"
"Rule price","السعر الاساسى"
"Set Items' Status to be In Stock When Order is Cancelled","ضع العناصر في حالة مخزون عندما يتم إلغاء الطلب"
"Stock Options","خيارات المخزون"
"Stock Status","حالة المخزن"
"The stock item for Product in option is not valid.","عنصر التخزين لهذا المنتج في الخيار غير صحيح."
"To Fixed Value","الى قيمة ثابته"
"To Percentage","الى نسبة مؤية"
"Update","تحديث"
"Update the Product","تحديث المنتج"
