"Allow for Guests","السماح للزوار"
"Back","رجوع"
"Email Address","البريد الإلكتروني"
"Email Address:","البريد الإلكتروني:"
"Email Templates","قوالب البريد الإلكتروني"
"Email to a Friend","ارسال الى صديق"
"Email:","البريد الالكترونى:"
"Enabled","تفعيل"
"Invalid Sender Information","معلومات المرسل غير صالحة"
"Limit Sending By","حدد الارسال بـ"
"Max Products Sent in 1 Hour","اقصى عدد للمنتجات يمكن ارسالة بالساعة"
"Max Recipients","اقصى عدد للمستقبلين"
"Message:","الرسالة:"
"Name","اسم"
"Some emails were not sent.","لم ترسل بعض رسائل البريد الإلكتروني."
"The link to a friend was sent.","تم إرسال الرابط لصديق."
