"10 minutes","10 دقائق"
"15 minutes","15 دقيقة"
"20 minutes","20 دقيقة"
"30 minutes","30 دقيقة"
"5 minutes","5 دقائق"
"Daily","يوميا"
"Failure History Lifetime","فشل سجل التاريخ منذ البدء"
"Generate Schedules Every","توليد جداول كل"
"History Cleanup Every","تنظيف السجل (الكاش)كل"
"Hourly","كل ساعة"
"Missed if Not Run Within","مفقود اذا لم يتم التشغيل من تلقاء نفسها"
"Monthly","شهريا"
"Schedule Ahead for","مهمة مجدولة لـ"
"Success History Lifetime","نجاح سجل التاريخ منذ البدء"
"Weekly","إسبوعياً"
