"Abandoned carts","التخلي عن عربات"
"Action","إجراء"
"Add to Cart","أضف لسلة التسوق"
"Add to Compare","إضافة إلى المقارنة"
"Add to Wishlist","إضافة إلى قائمة الأمنيات"
"Any","اي"
"Applied Coupon","قسيمة الخصم تم تطبيقها"
"Are you sure?","هل أنت متأكد؟"
"Bestsellers","الأكثر مبيعاً"
"CSV","CSV ملف"
"Carts","عربات الشراء"
"Compared Products Grid Template","نموذج لشبكة مقارنة المنتجات"
"Compared Products List Template","نموذج لقائمة مقارنة المنتجات"
"Coupons","قسائم الخصم"
"Coupons Usage Report","تقرير استخدام القسائم"
"Created At","انشئة في "
"Customer","العميل"
"Customer Name","اسم العميل"
"Customers","العملاء"
"Customers Report","تقرير العملاء"
"Customers Reviews","مراجعات العملاء"
"Customers by Orders Total","اجمالي العملاء بعدد الاوامر"
"Customers by number of orders","عملاء بعدد الطلبات"
"Dashboard","لوحة التحكم"
"Day","يوم"
"Description","الوصف"
"Detail","التفاصيل"
"Downloads","التحميلات"
"Email","البريد الإلكتروني"
"Empty Rows","صفوف فارغة"
"Filter","تصفية"
"First Name","الإسم الأول"
"From","من"
"General","عام"
"Guest","زائر"
"Hits","عدد القراء"
"ID","التعريف"
"IP Address","عنوان الملكية الفكرية"
"Invoiced","فاتورة"
"Items in Cart","منتجات في سلة التسوق"
"Last Name","اسم العائلة"
"Last Review","المراجعة الأخيرة"
"Link","الرابط"
"List of Products Recently Viewed by Visitor","قائمة بالمنتجات التي استعرضها الزائر مؤخرا"
"Low stock","انخفاض المخزون"
"Month","الشهر"
"Most Viewed","يشاهد كثيرا"
"Name","اسم"
"New Accounts","حسابات جديدة"
"No","لا"
"Number of Items","عدد السلع"
"Number of Products to display","عدد المنتجات للعرض"
"Order Status","حالة الطلب"
"Orders","الطلبات"
"Out of stock","غير متوفر بالمخزن"
"Period","الفترة"
"Price","السعر"
"Product Name","اسم المنتج"
"Product Reviews","مراجعات المنتج"
"Products","المنتجات"
"Products Report","تقرير المنتجات"
"Products Reviews","مراجعات المنتجات"
"Products in carts","المنتجات في عربات التسوق"
"Purchases","المشتريات"
"Recently Compared","تمت مقارنتها مؤخرا"
"Recently Compared Products","المنتجات المقارنة حديثا"
"Recently Viewed","المشاهد حديثا"
"Recently Viewed Products","المنتجات المشاهدة حديثا"
"Recently Viewed/Compared Products","المنتجات المشاهدة/المقارنة حديثا"
"Refunds","ردود"
"Report","تقرير"
"Reports","تقارير"
"Results","نتائج"
"Revenue","الإيرادات"
"Review","المراجعة"
"Reviews","مراجعات"
"Sales","المبيعات"
"Sales Report","تقرير المبيعات"
"Search Query","استفسار البحث"
"Search Terms","البحث عن كلمات"
"Shipping","الشحن"
"Shopping Cart","سلة التسوق"
"Show for Current","مشاهدة للاحلالية"
"Specified","محدد"
"Subtotal","الإجمالي"
"Tax","الضريبة"
"Title","العنوان"
"To","إلى"
"Total","إجمالي"
"Updated At","تحديث في"
"Viewed Products Grid Template","قالب الشبكة للمنتجات المستعرضة"
"Viewed Products List Template","قالب قائمة المنتجات المستعرضة"
"Year","السنة"
"Yes","نعم"
