"Actions","اعمال"
"Are you sure?","هل أنت متأكد؟"
"Date Added","اضافة تاريخ"
"Last Update","آخر تحديث"
"Mark as Read","تعيين كمقروء"
"Message","رسالة"
"Messages Inbox","الرسائل الواردة"
"Notifications","اشعارات"
"Please select messages.","الرجاء تحديد الرسائل."
"Read Details","قراءة التفاصيل"
"Remove","ازالة"
"Severity","خطورة"
"Show List","إظهار القائمة"
"Show Toolbar","إظهار شريط الأدوات"
"The message has been removed.","تم حذف الرسالة."
"Update Frequency","تردد التحديث"
"Use HTTPS to Get Feed","استخدام HTTPS للحصول على تغذية"
"Wrong message type","نوع رسالة خاطئ"
"critical","حرج"
"major","مهم"
"minor","ثانوي"
"notice","إشعار"
