"-- Please select --","-- اختر من فضلك --"
"Allowed Currencies","العملات المسموح بها"
"Base Currency","العملية الاساسية"
"Connection Timeout in Seconds","مهلة الاتصال بالثواني"
"Country","الدولة"
"Country and Format Type combination should be unique","البلد نوع وشكل الجمع بين ينبغي ان تكون فريدة من نوعها"
"Currency","العملة"
"Currency Options","خيارات العملة"""
"Currency Setup","اعدادات العملة"
"Currency Update Warnings","تحذير تعديل بيانات العملة"
"Default Display Currency","عرض العملة الافتراضية"
"Enabled","تفعيل"
"Error Email Recipient","خطأ فى مستقبل الرسالة"
"Error Email Sender","خطأ فى ارسال الرسالة"
"Error Email Template","خطأ فى قالب الرسالة"
"FATAL ERROR:","خطأ حيوي:"
"Frequency","التردد"
"Installed Currencies","العملات المعدة"
"Scheduled Import Settings","اعدادات الاستيراد المجدول"
"Service","الخدمة"
"Start Time","زمن البداية"
"State/Province","ولاية/محافظة"
"WARNING:","تحذير:"
