"Add","إضافة"
"Allow Gift Messages for Order Items","السماح للرسائل هدية من اجل بنود"
"Allow Gift Messages on Order Level","رسائل تسمح هدية على مستوى النظام"
"Are you sure?","هل أنت متأكد؟"
"Cancel","إلغاء"
"Do you have any gift items in your order?","هل لديك أي هدايا في هذا الطلب؟"
"Edit","تعديل"
"From","من"
"Gift Message","رسالة الاهداء"
"Gift Options","خيارات الهدية"
"Gift Options for Individual Items","خيارات الإهداء لكل عنصر"
"Message","رسالة"
"No","لا"
"OK","موافق"
"Save Gift Message","حفظ رسالة هدية"
"To","إلى"
"Unknown entity type","غير معروف نوع الكيان"
"Use config","استخدام التكوين"
"Yes","نعم"
