"* Required Fields","* حقول مطلوبة"
"--Please Select--","--أختر من فضلك--"
"Card Verification Number","رقم التحقق من البطاقة"
"Cash On Delivery Payment","الدفع عند الاستلام"
"Check / Money Order","شيك / طلب المال"
"Credit Card Number","رقم بطاقة الائتمان"
"Credit Card Type","نوع بطاقة الائتمان"
"Credit Card Types","أنواع بطاقة الائتمان"
"Credit card type is not allowed for this payment method.","غير مسموح بنوع بطاقة الائتمان لطريقة الدفع هذه."
"Currency","العملة"
"Day","يوم"
"Enabled","تفعيل"
"Expiration Date","تاريخ انتهاء الصلاحية"
"Incorrect credit card expiration date.","تاريخ انتهاء صلاحية بطاقة الائتمان غير صحيح."
"Instructions","التعليمات"
"Issue Number","رقم الإصدار"
"Make Check Payable to","تقديم شيك مستحق الدفع لـ"
"Make Check payable to:","تقديم شيك مستحق الدفع لـ:"
"Maximum Order Total","إجمالي الحد الأعلى للطلب"
"Merchant ID","رمز تعريف التاجر"
"Minimum Order Total","إجمالي الحد الأدنى للطلب"
"Month","الشهر"
"N/A","غير متاح"
"New Order Status","حالة طلب جديدة"
"Password","كلمة المرور"
"Payment Method","طريقة الدفع"
"Payment Methods","نظم الدفع"
"Payment from Applicable Countries","الدفع من البلدان المطبقة"
"Payment from Specific Countries","الدفع من بلدان معينة"
"Please enter a valid credit card verification number.","الرجاء إدخال رقم بطاقة ائتمان صالح للتحقق."
"Purchase Order","طلب الشراء"
"Purchase Order Number","رقم طلب الشراء"
"Selected payment type is not allowed for billing country.","غير مسموح بنوع الدفع المحدد للفوترة في البلد."
"Send Check to","ارسل الشيك الى"
"Send Check to:","ارسل الشيك الى:"
"Shipping Amount","كمية الشحن"
"Sort Order","الترتيب"
"Start Date","تاريخ البدء"
"Switch/Solo/Maestro Issue Number","رمز التبديل/سولو/مايسترو العدد"
"Switch/Solo/Maestro Only","سويتش/سولو/مايسترو فقط"
"Tax Amount","كمية الضريبة"
"Test Mode","وضع الاختبار"
"The requested Payment Method is not available.","طريقة الدفع المطلوبة غير متوفره."
"Title","العنوان"
"What is this?","ما هذا؟"
"Year","السنة"
