"* Required Fields","* حقول مطلوبة"
"Admin","المدير"
"Authorize","تصريح"
"Callback URL","عنوان رد الاتصال"
"Close","إغلاق"
"Created At","انشئة في "
"Customer","العميل"
"Delete","احذف"
"Disable","إبطال"
"Disabled","غير مفعل"
"Edit","تعديل"
"Email","البريد الإلكتروني"
"Email Address","البريد الإلكتروني"
"Enable","تفعيل"
"Enabled","تفعيل"
"ID","التعريف"
"Login","تسجيل الدخول"
"Name","اسم"
"Password","كلمة المرور"
"Permissions","تصريحات"
"Role Name","اسم الدور"
"Save","حفظ"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Status","الحاله"
"System","النظام"
"User ID","رمز التعريفي للمستخدم"
"User Name","اسم المستخدم"
