"""Remember Me"" Default Value","Valore predefinito ""Ricordami"""
"* Required Fields","* Campi obbligatori"
"Address","Indirizzo"
"Address Information","Informazioni indirizzo"
"Already registered?","Già registrato?"
"Back","Indietro"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Creando un account con il nostro negozio sarai in grado di muoverti attraverso il processo di pagamento più velocemente, salvare indirizzi di spedizione multipli, visualizzare e tracciare i tuoi ordini e altro ancora!"
"Checkout as Guest","Checkout come ospite"
"Checkout as a Guest or Register","Checkout come ospite o registrati"
"City","Città"
"Close","Chiudi"
"Company","Azienda"
"Confirm Password","Conferma password"
"Continue","Continua"
"Country","Nazione"
"Create an Account","Crea un Account"
"Easy access to your order history and status","Facile accesso alla cronologia ordini e allo stato"
"Email Address","Indirizzo email"
"Enable ""Remember Me""","Abilita ""Ricordami"""
"Enable Persistence","Abilita la persistenza"
"Fast and easy check out","Check out facile e veloce"
"Forgot Your Password?","Hai dimenticato la password?"
"Forgot your password?","Hai dimenticato la password?"
"General Options","Opzioni Generali"
"If you have an account with us, please log in.","Se hai un account con noi, per favore accedi"
"Loading next step...","Caricamento passo successivo..."
"Login","Accedi"
"Login Information","Informazioni accesso"
"Login or Create an Account","Accedi o crea un account"
"New Customers","Nuovi Clienti"
"Persist Shopping Cart","Persistenza carrello"
"Persistence Lifetime (seconds)","Durata persistenza (secondi)"
"Persistent Shopping Cart","Carrello persistente"
"Personal Information","Informazioni personali"
"Please log in below:","Accedi:"
"Please select region, state or province","Seleziona la regione, stato o provincia"
"Register","Registrati"
"Register and save time!","Registrati e risparmia tempo!"
"Register to Create an Account","Registrati per Creare un Account"
"Register with us for future convenience:","Registrati con noi per i vantaggi futuri:"
"Registered Customers","Clienti registrati"
"Remember Me","Ricordami"
"Save in address book","Salva nella rubrica"
"Select State/Province...","Seleziona Stato/Provincia..."
"Select a billing address from your address book or enter a new address.","Seleziona un indirizzo di fatturazione dalla tua rubrica o inserisci un nuovo indirizzo."
"Ship to different address","Spedisci ad un indirizzo diverso"
"Ship to this address","Spedisci a questo indirizzo"
"Sign Up for Newsletter","Iscriviti alla Newsletter"
"State/Province","Provincia/Regione"
"Street Address","Indirizzo"
"Submit","Invia"
"Telephone","Telefono"
"VAT Number","Partita Iva"
"Welcome, %s!","Benvenuto, %s!"
"What's this?","Cos'è questo?"
"Zip/Postal Code","CAP"
