" [deleted]"," [eliminato]"
" and "," e "
"(For US 2-letter state names)","(Per US inserire 2 lettere per il nome dello stato)"
"(If left empty will be auto-generated)","(Se lasciati vuoti verranno generati automaticamente)"
"(Leave empty for first spreadsheet)","(Lasciare vuoto per il primo foglio di calcolo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(I prodotti saranno aggiunti/aggiornati al negozio se la colonna “store” è vuota o mancante nel file di importazione.)"
"(Shift-)Click or drag to change value","(Shift-)Click o trascina per cambiare il valore"
"(Starting with)","(A partire da)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quando 'No', solo i campi mappati saranno importati. Quando esegui la mappatura, utilizza 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Prima di cambiare questo valore devi aumentare il php memory_limit)"
"(\t for tab)","(t per scheda)"
"* Required Fields","* Campi obbligatori"
"- Click on any of the time parts to increase it","- Click su una delle parti per incrementarlo"
"- Hold mouse button on any of the above buttons for faster selection.","- Tenere il tasto del mouse premuto su uno dei pulsanti per una selezione veloce."
"- Use the %s buttons to select month","- Utilizzare i bottoni %s per selezionare il mese"
"- Use the %s, %s buttons to select year","- Utilizzare i bottoni %s, %s per selezionare l'anno"
"- or Shift-click to decrease it","- o Shift-click per il decremento"
"- or click and drag for faster selection.","- o click e trascina per una selezione veloce."
"-- Please Select --","-- Seleziona --"
"-- Please Select Billing Agreement--","-- Seleziona accordo di fatturazione --"
"-- Please Select a Category --","-- Seleziona una categoria--"
"-- Please select --","-- Seleziona --"
"--Please Select--","--Seleziona--"
"1 Hour","1 ora"
"12 Hours","12 ore"
"12h AM/PM","12 ore AM/PM"
"2 Hours","2 ore"
"24 Hours","24 ore"
"24h","24 ore"
"2YTD","Dall'anno precedente"
"6 Hours","6 ore"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Errore 404</h1> <p>Pagina non trovata.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attenzione</strong>: il Captcha fa distinzione tra maiuscole e minuscole."
"A user with the same user name or email already exists.","Esiste già un utente con lo stesso nome o e-mail."
"API Key","Chiave API"
"Abandoned Carts","Carrelli abbandonati"
"About the calendar","Informazioni sul calendario"
"Account Created in:","Account creato in:"
"Account Created on (%s):","Account Creato su (%s):"
"Account Created on:","Account Creato su:"
"Account Information","Informazioni sull'account"
"Account Status","Status Account"
"Account status","Stato account"
"Action","Azione"
"Actions","Azioni"
"Actions XML","Azioni XML"
"Active","Attiva"
"Add","Aggiungi"
"Add Exception","Aggiungi Eccezione"
"Add Field Mapping","Aggiungi Mappatura dei Campi"
"Add Field with URL:","Aggiungi Campo con URL:"
"Add New","Aggiungi Nuovo"
"Add New Block","Aggiungi nuovo blocco"
"Add New Image","Aggiungi nuova immagine"
"Add New Profile","Aggiungi Nuovo Profilo"
"Add New Role","Aggiungi Nuovo Ruolo"
"Add New Template","Aggiungi nuovo template"
"Add New URL Rewrite","Aggiungi nuova URL Rewrite"
"Add New User","Aggiungi Nuovo Utente"
"Add New Variable","Aggiungi nuova variabile"
"Add Products","Aggiungi Prodotti"
"Add URL Rewrite","Aggiungi URL Rewrite"
"Add URL Rewrite for a Category","Aggiungi URL Rewrite per una categoria"
"Add URL Rewrite for a Product","Aggiungi URL Rewrite per un prodotto"
"Add after","Aggiungi dopo"
"Additional Cache Management","Gestione Cache aggiuntiva"
"Address Type:","Tipo Indirizzo:"
"Admin","Amministratore"
"Advanced Profiles","Profili avanzati"
"All","Tutti"
"All Allowed Countries","Tutti i paesi permessi"
"All Cache","Tutte le Cache"
"All Files","Tutti i file"
"All Reviews","Tutte le recensioni"
"All Store Views","Tutte le Viste Negozio"
"All Tags","Tutti i Tags"
"All Websites","Tutti i Website"
"All countries","Tutti i Paesi"
"All fields","Tutti i campi"
"All valid rates have been saved.","Tutte le tariffe valide sono state salvate."
"Always (during development)","Sempre (durante lo sviluppo)"
"Amounts","Importi"
"An error occurred while clearing the JavaScript/CSS cache.","Errore durante la cancellazione della cache di JavaScript/CSS."
"An error occurred while clearing the image cache.","Errore durante la cancellazione della cache immagini."
"An error occurred while deleting this role.","Si è verificato un errore durante l'eliminazione di questo ruolo."
"An error occurred while saving account.","Errore durante il salvataggio dell'account."
"An error occurred while saving this role.","Errore durante il salvataggio di questo ruolo."
"Any","Qualsiasi"
"Any Attribute Set","Qualsiasi set di attributi"
"Any Group","Qualsiai gruppo"
"Any Status","Qualsiasi stato"
"Any Store","Qualsiasi negozio"
"Any Type","Qualsiasi tipo"
"Any Visibility","Qualsiasi visibilità"
"Archive file name:","Nome del file di archivio:"
"Are you sure that you want to delete this template?","Sei sicuro di voler eliminare questo template?"
"Are you sure that you want to strip tags?","Sei sicuro di voler rimuovere i tag?"
"Are you sure you want to do this?","Sicuro di volerlo fare?"
"As low as:","A partire da:"
"Assigned","Assegnato"
"Attribute Set Name:","Nome del set di attributi:"
"Attributes","Attributi"
"Authorize","Autorizza"
"Automatic (equalize price ranges)","Automatico (eguaglia le fasce di prezzo)"
"Automatic (equalize product counts)","Automatico (eguaglia i conteggi dei prodotti)"
"Average Order Amount","Quantità media degli ordini"
"Average Orders","Media ordini"
"Back","Indietro"
"Back to Login","Torna al Login"
"Backup Name","Nome del backup"
"Backup options","Opzioni backup"
"Backups","Backup"
"Base currency","Valuta di base"
"Bcc","Ccn"
"Bestsellers","Più venduti"
"Billing Address","Indirizzo di Fatturazione"
"Billing Address: ","Indirizzo di Fatturazione: "
"Billing Agreement","Accordi di fatturazione"
"Billing Agreements","Accordi di fatturazione"
"Block Information","Informazioni Blocco"
"Blocks","Blocchi"
"Both (without and with tax)","Entrambi (con e senza tasse)"
"Browse Files...","Sfoglia i file..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Un Bundle con prezzo dinamico non può includere opzioni personalizzate. Le opzioni non saranno salvate."
"By Email","Tramite Email"
"By IP","Tramite IP"
"By IP and Email","Tramite IP ed Email"
"CRITICAL","CRITICO"
"CSV / Tab separated","CSV / Separato da tabulazioni"
"Cache Control","Controllo della cache"
"Cache Control (beta)","Controllo Cache (beta)"
"Cache Management","Gestione Cache"
"Cache Type","Tipo di cache"
"Cancel","Annulla"
"Cannot add new comment.","Non è possibile aggiungere un nuovo commento."
"Cannot add tracking number.","Eccezione localizzata."
