"%s's Wishlist","%s di Wishlist"
"* Required Fields","* Campi obbligatori"
"Add All to Cart","Aggiungi tutto al carrello"
"Add to Cart","Aggiungi al Carrello"
"Add to Compare","Aggiungi al confronto"
"Add to Wishlist","Aggiungi alla Lista dei Desideri"
"Added From","Aggiunto da"
"Are you sure you want to remove this product from your wishlist?","Sei sicuro di voler rimuovere il prodotto dalla wishlist?"
"Are you sure you would like to remove this item from the wishlist?","Sei sicuro di voler rimuovere questo oggetto dalla wishlist?"
"Back","Indietro"
"Can't save description %s","Impossibile salvare descrizione %s"
"Cannot specify product.","Non è possibile specificare il prodotto."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Seleziona il markatore per aggiungere un link rss alla tua wishlist."
"Click for price","Clicca per il prezzo"
"Comment","Commento"
"Comment:","Commento:"
"Date Added","Data Inserimento"
"Days in Wishlist","Giorni nella wishlist"
"Edit","Modifica"
"Email Sender","Mittente email"
"Email Template","Template email"
"Email address can't be empty.","Indirizzo email non può essere vuoto"
"Email addresses, separated by commas","Indirizzi email, separati da virgole"
"Enabled","Abilitato"
"General Options","Opzioni Generali"
"Go to Wishlist","Vai alla wishlist"
"In stock","Disponibile"
"Last Added Items","Ultimi elementi aggiunti"
"Message","Messaggio"
"My Wishlist","La Mia Wishlist"
"My Wishlist (%d item)","La mia wishlist (%d oggetti)"
"My Wishlist (%d items)","La mia wishlist (%d oggetti)"
"Options Details","Dettagli opzioni"
"Out of stock","Non Disponibile"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Inserire emails valide separate da virgole. Per esempio johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Inserisci i tuoi commenti"
"Price","Prezzo"
"Product","Prodotto"
"Product Details and Comment","Commento e dettagli prodotto"
"Qty","Qtà"
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","RSS link a %s's wishlist"
"Remove Item","Rimuovi elemento"
"Remove This Item","Rimuovi questo articolo"
"Remove item","Rimuovi il prodotto"
"SKU","Cod.Art."
"Share Options","Opzioni di condivisione"
"Share Wishlist","Condividi wishlist"
"Share Your Wishlist","Condividi la tua wishlist"
"Sharing Information","Informazioni di condivisione"
"Update Wishlist","Aggiorna wishlist"
"User Description","Descrizione dell'utente"
"View Details","Visualizza dettagli"
"View Product","Visualizza prodotto"
"What's this?","Cos'è questo?"
"Wishlist","Lista desideri"
"Wishlist Section","Sezione wishlist"
"Wishlist Sharing","Condivisione Wishlist"
"Wishlist is empty now.","Wishlist vuolta"
"You have no items in your wishlist.","Non hai oggetti nella wishlist"
