"-- Please Select --","-- Seleziona --"
"Add New Class","Aggiungi nuova classe"
"Add New Tax Rate","Aggiungi nuova aliquota fiscale"
"Add New Tax Rule","Aggiungi nuova regola fiscale"
"After Discount","Dopo lo sconto"
"Apply Customer Tax","Applica Tassa cliente"
"Apply Discount On Prices","Applica sconto sui prezzi"
"Apply Tax On","Applica Tassa su"
"Are you sure you want to do this?","Sicuro di volerlo fare?"
"Back","Indietro"
"Before Discount","Prima dello sconto"
"Calculation Settings","Impostazioni di calcolo"
"Catalog Prices","Prezzi Catalogo"
"Class Name","Nome classe"
"Code","Codice"
"Country","Paese"
"Custom price if available","Prezzo personalizzato se disponibile"
"Customer Tax Class","Classe fiscale cliente"
"Customer Tax Class Information","Informazioni classe fiscale cliente"
"Customer Tax Classes","Classi Tassa Cliente"
"Default Country","Paese predefinito"
"Default Post Code","Codice postale predefinito"
"Default State","Provincia Predefinita"
"Default Tax Destination Calculation","Calcolo tassa in base alla destinazione predefinito"
"Delete Class","Elimina classe"
"Delete Rate","Elimina aliquota"
"Delete Rule","Elimina regola"
"Display Full Tax Summary","Mostra riepilogo completo tasse"
"Display Prices","Mostra prezzi"
"Display Product Prices In Catalog","Visualizzare i prezzi dei prodotti nel catalogo"
"Display Shipping Amount","Mostra importo spedizione"
"Display Shipping Prices","Visualizza i prezzi di spedizione"
"Display Subtotal","Mostra Subtotale"
"Display Zero Tax Subtotal","Mostra Subtotale tasse Zero"
"Edit Class","Modifica classe"
"Edit Class '%s'","Modifica classe '%s'"
"Edit Rule","Modifica regola"
"Edit Tax Rate","Modifica aliquota fiscale"
"Enable Cross Border Trade","Abilitare commercio oltre frontiera"
"Excl. Tax","Tasse escl."
"Excl. Tax:","Tasse escuse:"
"Excluding Tax","Escluse tasse"
"Export Tax Rates","Esporta aliquote fiscali"
"Grand Total (Excl. Tax)","Totale complessivo (Escl. Tasse)"
"Grand Total (Excl.Tax)","Totale complessivo (Escl. Tasse)"
"Grand Total (Incl. Tax)","Totale complessivo (Incl. Tasse)"
"Grand Total (Incl.Tax)","Totale complessivo (Incl. Tasse)"
"Grand Total Excl. Tax","Totale Complessivo escl. Tasse"
"Grand Total Incl. Tax","Totale Complessivo incl. Tasse"
"Import / Export Tax Rates","Importa / Exporta Aliquote"
"Import Tax Rates","Importa aliquote fiscali"
"Inc. Tax","Tasse incluse"
"Incl. Tax","Tasse incl."
"Incl. Tax:"," Tasse incluse:"
"Including Tax","Incluse tasse"
"Including and Excluding Tax","Incluse ed escluse tasse"
"Invalid file format upload attempt","Tentativo caricamento formato file non valido fallito"
"Invalid file upload attempt","Tentativo di caricamento file non valido"
"Product Tax Classes","Classi tasse prodotto"
"Tax Rates","Aliquote fiscali"
"Tax Rules","Regole fiscali"
"Name","Nome"
"New Class","Nuova classe"
"New Rule","Nuova regola"
"New Tax Rate","Nuova aliquota fiscale"
"None","Nessuno"
"One of the country has invalid code.","Uno dei Paesi ha il codice non valido"
"Orders, Invoices, Credit Memos Display Settings","Impostazioni di visualizzazione di ordini, fatture, note di credito"
"Original price only","Solo prezzo originale"
"Price Display Settings","Impostazioni di visualizzazione del prezzo"
"Priority","Priorità"
"Product Tax Class","Classe fiscale del prodotto"
"Product Tax Class Information","Informazioni classe imposte prodotto"
"Range From","Intervallo da"
"Range To","Intervallo a"
"Range To should be equal or greater than Range From.","L'intervallo A deve essere uguale o maggiore dell'Intervallo Da."
"Rate","Aliquota"
"Rate Percent","Aliquota percentuale"
"Reset","Reimposta"
"Row Total","Totale riga"
"Sales","Vendite"
"Save Class","Salva classe"
"Save Rate","Salva aliquota"
"Save Rule","Salva regola"
"Save and Continue Edit","Salva e continua modifica"
"Shipping & Handling (Excl.Tax)","Spedizione e gestione (escl. Tasse)"
"Shipping & Handling (Incl.Tax)","Spedizione e gestione (incl. Tasse)"
"Shipping (Excl. Tax)","Spedizione (Escl. tasse)"
"Shipping (Incl. Tax)","Spedizione (Incl. tasse)"
"Shipping Prices","Prezzi di spedizione"
"Shopping Cart Display Settings","Impostazioni di visualizzazione del carrello"
"Sort Order","Ordinamento"
"State","Stato"
"State/Region","Provincia"
"Subtotal (Excl. Tax)","Subtotale (escl. Tasse)"
"Subtotal (Excl.Tax)","Subtotale (escl. Tasse)"
"Subtotal (Incl. Tax)","Subtotale (incl. Tasse)"
"Subtotal (Incl.Tax)","Subtotale (incl. Tasse)"
"Tax","Tassa"
"Tax Calculation Based On","Calcolo dell'imposta basato su"
"Tax Calculation Method Based On","Metodo di calcolo tasse basato su"
"Tax Class for Shipping","Classe tassa per la spedizione"
"Tax Classes","Classi Tassa"
"Tax Identifier","Identificatore tassa"
"Tax Rate","Aliquota fiscale"
"Tax Rate Information","Informazioni aliquota fiscale"
"Tax Rule Information","Informazioni aliquota fiscale"
"Tax Titles","Titoli tassa"
"Tax rates at the same priority are added, others are compounded.","Aliquote fiscali con la stessa priorità sono stati aggiunti, gli altri sono aggravati."
"The tax rate has been imported.","L'aliquota fiscale è stata importata."
