"* Required Fields","* Campi obbligatori"
"ALL GROUPS","TUTTI I GRUPPI"
"Account Dashboard","Bacheca Account"
"Account Information","Informazioni sull'account"
"Account Sharing Options","Opzioni di condivisione account"
"Action","Azione"
"Add New Address","Aggiungi nuovo indirizzo"
"Add New Customer","Aggiungi nuovo cliente"
"Add New Customer Group","Aggiungi nuovo gruppo clienti"
"Added From","Aggiunto da"
"Additional Address Entries","Voci indirizzo aggiuntivi"
"Address","Indirizzo"
"Address Book","Rubrica"
"Address Information","Informazioni indirizzo"
"Address Templates","Template indirizzi"
"Addresses","Indirizzi"
"Admin","Amministratore"
"All","Tutti"
"All Store Views","Tutte le Viste Negozio"
"All countries","Tutti i Paesi"
"Always optional.","Sempre facoltativo."
"Amount","Importo"
"Approved","Approvato"
"Are you sure that you want to remove this item?","Sei sicuro di voler rimuovere questo oggetto?"
"Are you sure you want to cancel adding of this address?","Sei sicuro di voler annullare l'aggiunta per questo indirizzo?"
"Are you sure you want to delete this address?","Sei sicuro di voler eliminare questo indirizzo?"
"Are you sure?","Sei sicuro?"
"Assign a Customer Group","Assegna a un gruppo cliente"
"Average Sale","Vendita media"
"Back","Indietro"
"Back to Login","Torna al Login"
"Bad request.","Richiesta non valida."
"Bill to Name","Fattura per nome"
"Bought From","Comprato da"
"By Email","Tramite Email"
"By IP","Tramite IP"
"By IP and Email","Tramite IP ed Email"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Creando un account con il nostro negozio sarai in grado di muoverti attraverso il processo di pagamento più velocemente, salvare indirizzi di spedizione multipli, visualizzare e tracciare i tuoi ordini e altro ancora!"
"Cancel","Annulla"
"Change Account Password","Cambia password account"
"Change Billing Address","Cambia indirizzo di fatturazione"
"Change Password","Cambia Password"
"Change Shipping Address","Cambia Indirizzo di spedizione"
"City","Città"
"Company","Azienda"
"Config","Configura"
"Configure","Configura"
"Confirm New Password","Conferma nuova Password"
"Confirm Password","Conferma password"
"Confirmation Link Email","Link di conferma"
"Confirmed","Confermato"
"Contact Information","Informazioni di contatto"
"Continue Shopping","Continua gli Acquisti"
"Country","Paese"
"Create","Crea"
"Create New Account Options","Opzioni Crea nuovo Account"
"Create New Customer Account","Crea un nuovo account cliente"
"Create Order","Crea Ordine"
"Create an Account","Crea un account"
"Create customer","Crea cliente"
"Create customer address","Crea indirizzo cliente"
"Current Password","Password attuale"
"Customer","Cliente"
"Customer Addresses","Indirizzi Cliente"
"Customer Configuration","Configurazione cliente"
"Customer Group","Gruppo Cliente"
"Customer Groups","Gruppi cliente"
"Customer Information","Informazioni cliente"
"Customer Login","Accesso Cliente"
"Customer Since","Cliente dal"
"Customer View","Vista Cliente"
"Customer will stay on the current page if ""No"" is selected.","Il cliente rimarrà nella pagina corrente se ""No"" è selezionato."
"Customers","Clienti"
"Customers Only","Solo clienti"
"Date","Data"
"Date Added","Data Inserimento"
"Date of Birth","Data di nascita"
"Day","Giorno"
"Days in Wishlist","Giorni nella wishlist"
"Default Addresses","Indirizzi predefiniti"
"Default Billing Address","Indirizzo di fatturazione predefinito"
"Default Email Domain","Indirizzo predefinito del dominio"
"Default Group","Gruppo predefinito"
"Default Shipping Address","Indirizzo di spedizione predefinito"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valore predefinito per Disattiva modifiche gruppo automatiche basate su partita IVA"
"Default Welcome Email","Email di benvenuto predefinita"
"Delete","Elimina"
"Delete Address","Cancella indirizzo"
"Delete Customer","Elimina cliente"
"Delete Customer Group","Elimina gruppo clienti"
"Delete customer","Cancella Clienti"
"Delete customer address","Cancella indirizzo Cliente"
"Deleted Stores","Negozi cancellati"
"Details","Dettagli"
"Disabled","Disabilitato"
"Edit","Modifica"
"Edit Account Info","Modifica informazioni account"
"Edit Account Information","Modificare le informazioni Account"
"Edit Address","Modifica l'indirizzo"
"Edit Address Entry","Modifica voce indirizzo"
"Edit Customer Group ""%s""","Modifica gruppo cliente ""%s"""
"Edit Customer Groups","Modifica i gruppi clienti"
"Edit Customer's Address","Modifica indirizzo cliente"
"Edit Group","Modifica Gruppo"
"Edit Newsletters","Modifica newsletter"
"Email Address","Indirizzo email"
"Email Sender","Mittente email"
"Enable Automatic Assignment to Customer Group","Abilita l'assegnazione automatica al gruppo di clienti"
"Failed to confirm customer account.","Conferma account cliente fallita"
"First Name","Nome"
"Forgot Email Template","Template email dimenticata"
"Forgot Password","Password dimenticata"
"Forgot Your Password?","Hai dimenticato la password?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Dalla bacheca del tuo account hai la possibilità di vedere uno snapshot delle recenti attività del tuo account e aggiornare le informazioni del tuo account. Seleziona un link qui sotto per vedere o modificare le informazioni."
"Gender","Sesso"
"General Subscription","Abbonamento generale"
"Generate Human-Friendly Customer ID","Generare ID cliente Human-Friendly"
"Global","Globale"
"Group","Gruppo"
"Group Information","Informazioni gruppo"
"Group Name","Nome gruppo"
"Group for Invalid VAT ID","Gruppo per P. IVA non valda"
"Group for Valid VAT ID - Domestic","Gruppo per P. IVA valida - Domestico"
"Group for Valid VAT ID - Intra-Union","Gruppo per P. IVA valida - Intra-Unione"
"Guest","Ospite"
"Hello, %s!","Ciao, %s!"
"IP Address","Indirizzo IP"
"If you have an account with us, please log in.","Se hai un account con noi, per favore accedi"
"Invalid current password","Password corrente non valida"
"Invalid customer data","Dati cliente non validi"
"Invalid login or password.","Login o password non validi."
"Last Activity","Ultima Attività"
"Last Date Subscribed","Data dell'ultimo iscritto"
"Last Date Unsubscribed","Data ultimo disiscritto"
"Last Name","Cognome"
"Leave empty for default (15 minutes).","Lasciare vuoto per predefinito (15 minuti)."
"Leave empty for default (2). Valid range: 1-4","Lascia vuoto come predefinito (2). Serie consentita: 1-4"
"Lifetime Sales","Vendite totali"
"Log In","Accedi"
"Log Out","Logout"
"Login","Accedi"
"Login Information","Informazioni accesso"
"Login Options","Opzioni login"
"Login or Create an Account","Accedi o crea un account"
"Manage Addresses","Gestisci Indirizzi"
"Manage Customers","Gestisci Clienti"
"Month","Mese"
"My Account","Il mio Account"
"My Dashboard","La mia Bacheca"
"My Orders","I miei ordini"
"Name","Nome"
"Name and Address Options","Nome e opzioni indirizzo"
"Never","Mai"
"New Address","Nuovo Indirizzo"
"New Address Entry","Voce nuovo indirizzo"
"New Customer","Nuovo Cliente"
"New Customer Address","Nuovo indirizzo cliente"
"New Customer Group","Nuovo gruppo clienti"
"New Customer Groups","Nuovi gruppi Clienti"
"New Customers","Nuovi Clienti"
"New Group","Nuovo gruppo"
"New Password","Nuova Password"
"New account","Nuovo account"
"New account confirmation key","Codice di conferma nuovo account"
"New account confirmed","Nuovo account confermato"
"Newsletter Finish","Newsletter finale"
"Newsletter Information","Informazioni Newsletter"
"Newsletter Received","Newsletter ricevuta"
"Newsletter Start","Newsletter inizio"
"Newsletter Subscription","Iscrizione alla newsletter"
"Newsletters","Newsletter"
"No Items Found","Nessun elemento trovato"
"No Newsletter Found","Nessuna newsletter trovata"
"No item specified.","Nessun elemento specificato."
"Not Sent","Non Inviato"
"Not confirmed, can login","Non confermato, puoi accedere"
"Not confirmed, cannot login","Non confermato, non puoi accedere"
"Online Customers","Clienti online"
"Online Customers Options","Opzioni clienti online"
