"%s Item(s)","%s Prodotto/I"
"(Shift-)Click or drag to change value","(Shift-)Click o trascina per cambiare il valore"
"(ver. %s)","(vers. %s)"
"- Click on any of the time parts to increase it","- Click su una delle parti per incrementarlo"
"- Hold mouse button on any of the above buttons for faster selection.","- Tenere il tasto del mouse premuto su uno dei pulsanti per una selezione veloce."
"- Use the %s buttons to select month","- Utilizzare i bottoni %s per selezionare il mese"
"- Use the %s, %s buttons to select year","- Utilizzare i bottoni %s, %s per selezionare l'anno"
"- or Shift-click to decrease it","- o Shift-click per il decremento"
"- or click and drag for faster selection.","- o click e trascina per una selezione veloce."
"-- Please Select --","-- Seleziona --"
"1 column","1 colonna"
"2 columns with left bar","2 colonne con barra a sinistra"
"2 columns with right bar","2 colonne con barra a destra"
"3 columns","3 colonne"
"About the calendar","Informazioni sul calendario"
"All Pages","Tutte le pagine"
"Allow","Permetti"
"Click <a href=""%s"">here</a> if nothing has happened","Clicca <a href=""%s"">qui</a> se non accade nulla"
"Close","Chiudi"
"Close Window","Chiudi finestra"
"DHTML Date/Time Selector","DHTML Data/Selezione ora"
"Date selection:","Selezione data:"
"Default Description","Descrizione predefinita"
"Default welcome msg!","Testo di benvenuto predefinito!"
"Display %s first","Mostra %s per primo"
"Distributed under GNU LGPL. See %s for details.","Distribuita sotto licenza GNU LGPL. Visita %s per i dettagli."
"Drag to move","Trascina per spostare"
"Empty","Vuoto"
"For latest version visit: %s","Per aggiornamenti: %s"
"Go Today","Vai ad oggi"
"Help Us to Keep Magento Healthy","Aiutaci a mantenere OpenMage in salute"
"Interface Language","Linguaggio Interfaccia"
"Items %s to %s of %s total","Articoli da %s a %s di %s totali"
"JavaScript seems to be disabled in your browser.","I JavaScript sembrano essere disabilitati nel tuo browser."
"Left Column","Colonna sinistra"
"Next","Successivo"
"Next month (hold for menu)","Mese prossimo (tieni premuto per il menu)"
"Next year (hold for menu)","Prossimo anno (premi per il menu)"
"Page:","Pagina:"
"Prev. month (hold for menu)","Prev. mese (tener premuto per il menu)"
"Prev. year (hold for menu)","Prev. anno (tener premuto per il menu)"
"Previous","Precedente"
"Redirecting...","Riindirizzamento..."
"Report All Bugs","Segnala tutti i Bugs"
"Right Column","Colonna destra"
"Search","Cerca"
"Select Store","Seleziona negozio"
"Select date","Seleziona data"
"Show","Mostra"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Questo é un negozio demo. Tutti gli ordini effettuati attraverso questo negozio, non saranno onorati o portati a compimento."
"Time selection:","Seleziona ora:"
"Time:","Ora:"
"View All","Mostra tutti"
"Welcome, %s!","Benvenuto, %s!"
"Your Language","La tua lingua"
"Your Language:","La tua lingua:"
"per page","per pagina"
