"* Required Fields","* Campi obbligatori"
"--Please Select--","--Seleziona--"
"<label>Make Check payable to:</label> %s","<label>Rendere l'assegno pagabile a:</label> %s"
"Bank Transfer Payment","Pagamento tramite bonifico bancario"
"Card Verification Number","Numero di verifica della carta"
"Cash On Delivery Payment","Pagamento in contrassegno"
"Check / Money Order","Vaglia"
"Credit Card Number","Numero carta di credito"
"Credit Card Number: xxxx-%s","Numero della carta di credito: xxxx-%s"
"Credit Card Type","Tipo di carta di credito"
"Credit Card Type: %s","Tipo della carta di credito: %s"
"Credit Card Types","Tipi di carta di credito"
"Credit card type is not allowed for this payment method.","Tipo di carta di credito non permesso per questo metodo di pagamento."
"Currency","Valuta"
"Day","Giorno"
"Debug Mode","Modalità Debug"
"Enabled","Abilitato"
"Expiration Date","Data di scadenza"
"Expiration Date: %s/%s","Data di scadenza: %s/%s"
"Incorrect credit card expiration date.","Data di scadenza della carta di credito errata."
"Instructions","Istruzioni"
"Invalid Credit Card Number","Numero carta di credito non valido"
"Issue Number","Numero di emissione"
"Make Check Payable to","Fare Check intestato a"
"Make Check payable to:","Fare assegno intestato a:"
"Make Check payable to: %s","Rendi l'assegno pagabile a: %s"
"Maximum Order Total","Totale ordine massimo"
"Merchant ID","ID Venditore"
"Minimum Order Total","Totale ordine minimo"
"Month","Mese"
"N/A","N/D"
"Name on Card","Nome sulla carta"
"Name on the Card: %s","Nome sulla carta: %s"
"New Order Status","Nuovo stato dell'ordine"
"Payment Method","Metodo di pagamento"
"Payment Methods","Metodi di pagamento"
"Payment Services","Servizi di pagamento"
"Payment from Applicable Countries","Pagamento dai paesi applicabili"
"Payment from Specific Countries","Pagamento da Paesi specifici"
"Please enter a valid credit card verification number.","Si prega di inserire un numero valido di verifica della carta di credito."
"Purchase Order","Ordine d'acquisto"
"Purchase Order Number","Numero ordine d'acquisto"
"Purchase Order Number: %s","Numero ordine d'acquisto: %s"
"Saved CC","CC Salvato"
"Selected payment type is not allowed for billing country.","Tipo di pagamento selezionato non permesso per il paese di fatturazione."
"Send Check to","Inviare assegno a"
"Send Check to:","Invia assegno a:"
"Shipping Amount","Importo di spedizione"
"Sort Order","Ordinamento"
"Start Date","Data Inizio"
"Switch/Solo/Maestro Issue Number","Numero di emissione Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Solo Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Data di inizio Switch/Solo/Maestro"
"Tax Amount","Importo tasse"
"Test Mode","Modalità test"
"The payment review action is unavailable.","L'azione di revisione del pagamento non è disponibile."
"The requested Payment Method is not available.","Il metodo di pagamento richiesto non è disponibile."
"Title","Titolo"
"Unable to save Billing Agreement:","Impossibile salvare l'accordo di fatturazione:"
"What is this?","Cos'è questo?"
"Year","Anno"
"Zero Subtotal Checkout","Subtotale Cassa Zero"
