"-- Please Select --","-- Seleziona --"
"Add Block Names to Hints","Aggiungi nomi blocco nelle note"
"Add Secret Key to URLs","Aggiungi la chiave segreta agli URL"
"Add Store Code to Urls","Aggiungi il codice negozio all'Url"
"Admin","Amministratore"
"Admin Base URL","Base URL Admin"
"Admin User Emails","Email utente admin"
"Advanced","Avanzate"
"Allow Countries","Paesi consentiti"
"Allow Symlinks","Consentire i Symlinks"
"Allowed IPs (comma separated)","IP consentiti (separati da virgola)"
"Anchor Text for Next","Testo ancora per Successivo"
"Anchor Text for Previous","Testo ancora per Precedente"
"Are you sure?","Sei sicuro?"
"Auto-redirect to Base URL","Auto-reindirizzamento al Base URL"
"Back","Indietro"
"Backup Options","Opzioni Backup"
"Base JavaScript URL","JavaScript URL di base"
"Base Link URL","URL Link Base"
"Base Media URL","Media URL di base"
"Base Skin URL","Skin URL di base"
"Base URL","URL di base"
"Block with name ""%s"" already exists","Un blocco con il nome ""%s"" esiste già"
"Browser Capabilities Detection","Rilevamento di funzionalità del browser"
"CSS Settings","Impostazioni CSS"
"Cache Storage Management","Gestione dell'archiviazione della cache"
"Can't retrieve request object","Impossibile recuperare richiesta oggetto"
"Can't retrieve entity config: %s","Impossibile recuperare config entità: %s"
"Cancel","Annulla"
"Cannot complete this operation from non-admin area.","Impossibile completare l'operazione in una zona non-admin."
"Card type does not match credit card number.","Tipo di carta non corrisponde il numero di carta di credito."
"Code","Codice"
"Controller file was loaded but class does not exist","Il file controller è stato caricato ma la classe non esiste"
"Cookie Domain","Dominio cookie"
"Cookie Lifetime","Durata cookie"
"Cookie Path","Percorso cookie"
"Cookie Restriction Mode","Modalità di restrizione dei cookie"
"Country","Paese"
"Create Store","Crea Negozio"
"Create Store View","Crea Vista Negozio"
"Create Website","Crea Website"
"Credit card number does not match credit card type.","Il numero di carta di credito non corrisponde al tipo di carta di credito."
"Custom Admin Path","Percorso Admin personalizzato"
"Custom Admin URL","URL personalizzato Admin"
"Custom Design","Design Personalizzato"
