" for more information or "," per maggiori informazioni o "
"# of Items (and above)","# di elementi (e superiore)"
"# of Items vs. Destination","# di elementi vs. destinazione"
"Allow Shipping to Multiple Addresses","Permetti spedizione a indirizzi multipli"
"Calculate Handling Fee","Calcola spese di gestione"
"Carrier:","Vettore:"
"City","Città"
"Close Window","Chiudi finestra"
"Condition","Condizione"
"Country","Nazione"
"Custom Value","Valore Personalizzato"
"Date","Data"
"Delivered on:","Consegnato il:"
"Delivered to:","Consegnato a:"
"Description","Descrizione"
"Displayed Error Message","Messaggio di errore visualizzato"
"Divide to equal weight (one request)","Dividi a parità di peso (una richiesta)"
"Enabled","Abilitato"
"Error:","Errore:"
"Export","Esporta"
"Fixed","Fisso"
"Flat Rate","Tariffe Flat"
"Free Shipping","Spedizione Gratuita"
"Google Sitemap Section","Sezione Google Sitemap"
"Handling Fee","Spese di gestione"
"Import","Importa"
"Include Virtual Products in Price Calculation","Include i prodotti virtuali nel calcolo dei prezzi"
"Info:","Informazioni:"
"Invalid Table Rate code for type %s: %s","Tipo di codice nella tabella Rate invalido %s: %s"
"Invalid Table Rate code type: %s","Tipo di codice nella tabella Rate invalido: %s"
"Invalid Table Rates File Format","Formato file non valido Table Rates"
"Local Time","Ora locale"
"Location","Posizione"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Qtà massima permessa per la spedizione con indirizzi multipli"
"Method Name","Nome metodo"
"Minimum Order Amount","Importo minimo d'ordine"
"N/A","N/D"
"None","Nessuno"
"Options","Opzioni"
"Order Subtotal (and above)","Subtotale ordine (e superiore)"
"Origin","Origine"
"Per Order","Per ordine"
"Per Package","Per ogni pacchetto"
"Percent","Percentuale"
"Price","Prezzo"
"Price vs. Destination","Prezzo vs destinazione"
"Region/State","Provincia"
"Service Type:","Tipo servizio:"
"Ship to Applicable Countries","Spedisci ai paesi applicabili"
"Ship to Specific Countries","Spedisci in paesi specifici"
"Shipment #","Spedizione #"
"Shipped or billed on:","Spedito o fatturato su:"
"Shipping Methods","Metodi di Spedizione"
"Shipping Methods Section","Sezione metodi di spedizione"
"Shipping Settings","Impostazioni di spedizione"
"Shipping Settings Section","Sezione impostazioni di spedizione"
"Show Method if Not Applicable","Mostra metodo se non applicabile"
"Signed by:","Firmato da:"
"Sort Order","Ordinamento"
"Status:","Stato:"
"Store Pickup","Ritiro in negozio"
"Street Address","Indirizzo"
"Street Address Line 2","Riga di indirizzo 2"
"Table Rates","Tabella tariffe"
"The shipping module is not available.","Il modulo di spedizione non è disponibile."
"There is no tracking available for this shipment.","Non esiste nessun tracciamento disponibile per questa spedizione."
"There is no tracking available.","Non c'è nessun tracciamento disponibile."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Questo metodo di spedizione è al momento non disponibile. Se vuoi spedire usando questo medoto contattaci."
"Title","Titolo"
"Track:","Traccia:"
"Tracking Information","Informazioni di tracciamento"
"Tracking Number:","Numero di tracciamento:"
"Tracking information is currently not available. Please ","Al momento le informazioni di tracciamento non sono disponibili. Per favore "
"Tracking information is currently unavailable.","Informazioni sulla tracciabilità al momento non disponibili. "
"Type","Tipo"
"Use origin weight (few requests)","Usa peso origine (poche richieste)"
"Weight (and above)","Peso (e superiore)"
"Weight vs. Destination","Peso vs destinazione"
"Weight:","Peso:"
"ZIP/Postal Code","CAP"
"contact us","contattaci"
"email us at ","scrivici al "
